Location description,Grid reference,Notes
"A548, near Mostyn Docks",SJ1580,
"Airfield, Welsh Road, Deeside Ind. Est.",SJ3270,
"Aldi, Neston",SJ291778,
Arrowe Park ,SJ 27132 86062 ,(Please state in comments ‘central grid ref used’)
Arrowe Park Hospital Car Park,SJ273863,
"Ashton Park, West Kirby",SJ217865,
Baggilt,SJ2276,
Bagillt Colliery Reserve,SJ215759,
Barnston,SJ2883,
"Beacons Wood, Heswall",SJ271813,
Between Decca Pools & Neston Reed Bed ,SJ280760,
Between Gronant & Point of Ayr ,SJ101846,
Between Moreton & Bidston,SJ276902,
"Between Pine Hey & Woodlane, Parkgate",SJ287784,
"Bevyl Road Flash, Parkgate",SJ275784,
"Bird Rock, Red Rocks",SJ200887,
"Black Horse Hill, West Kirby",SJ223870,
"Boathouse Flash, Parkgate",SJ274786,
Brimstage (east of Heswall),SJ 30519 82794,
"Burton Marsh, ",SJ280750,
Burton Marsh Farm,SJ3027774373,
Burton Mere Wetlands,SJ310730,
Burton Outer Marsh,SJ290730,
Caldy,SJ226852,
Caldy and Dee Sailing Club,SJ229839,
Caldy Golf Course,SJ227843,
"Caldy Hill, area near Boundary Road",SJ225859,
Caldy Steps,SJ222848,
Caldy Wildfowl Collection West Kirby,SJ234859,
"Clown Roundabout, New Brighton",SJ299942,
"Colliery Green Drive, Little Neston",SJ294761,
Connah’s Quay Reserve,SJ278713,
"Cop Hole Pool, Shotwick",SJ298722,
"Cottage Lane, Heswall",SJ267801,
Cubbins Green,SJ219853,
"Dalmorton Road, New Brighton",SJ314937,
"Dawpool National Reserve, Thurstaston",SJ241846,
"Decca Pools, Burton Marsh ",SJ291752,
Dee Marshes,SJ258725,
Deeside Industrial Estate,SJ3271,
"Denhall Lane, Burton Marsh",SJ299747,
Denhall Quay,SJ288761,
"Ditton Lane, Moreton",SJ259912,
"Donkey Stand Flash, Parkgate",SJ270770,
"Dove Point, Hoylake and Meols Ward",SJ234907,
"Drake Road, Neston",SJ294780,
"Dungeon wood, Thurstaston",SJ250831,
East Hoyle Bank,SJ225915,
Ffynnongroyw (mud Flats),SJ1483,
"Field by Wirral Way, Thurstaston",SJ240831,
Flint Castle,SJ247733,
Flint Marsh,SJ242739,
Flint Point,SJ246738,
Flint Shore,SJ2573,
Frankby,SJ245868,
Gayton Sands,SJ270770,
"Gilroy Nature Park, West Kirby",SJ224876,
"Grange Cemetery, West Kirby",SJ222871,
"Grange Hill, West Kirby",SJ219872,
"Green Bank Road, West Kirby",SJ2187,
Greenfield,SJ 19955 77984 ,(Please state in comments ‘central grid ref used’)
Greenfield Dock,SJ200780,
Greenfield Valley,SJ195771,
Gronant,SJ083841,
"Harp Inn, Little Neston",SJ290761,
"Harrison Drive, Wallasey",SJ290931,
Hawarden,SJ3166,
Heswall Bus Station,SJ26998182,
