"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lnodec00.htm","260 Grey Plover 8000 Knot 5500 Dunlin 50 Bar-tailed Godwit and 34 Redshank -|West Kirby|high tide roost counted by|DEVW| also some cold weather movements including 40 Redwing 300 Skylark and 100 Lapwing 1 Stonechat in sand dunes","check gridref","West Kirby","2000-12-28 00:00:00","260","Grey Plover","Pluvialis squatarola","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. High tide roost counted by"
"http://www.deeestuary.co.uk/lnodec00.htm","260 Grey Plover 8000 Knot 5500 Dunlin 50 Bar-tailed Godwit and 34 Redshank -|West Kirby|high tide roost counted by|DEVW| also some cold weather movements including 40 Redwing 300 Skylark and 100 Lapwing 1 Stonechat in sand dunes","check gridref","West Kirby","2000-12-28 00:00:00","8000","Knot","Calidris canutus","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. High tide roost counted by"
"http://www.deeestuary.co.uk/lnodec00.htm","260 Grey Plover 8000 Knot 5500 Dunlin 50 Bar-tailed Godwit and 34 Redshank -|West Kirby|high tide roost counted by|DEVW| also some cold weather movements including 40 Redwing 300 Skylark and 100 Lapwing 1 Stonechat in sand dunes","check gridref","West Kirby","2000-12-28 00:00:00","5500","Dunlin","Calidris alpina","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. High tide roost counted by"
"http://www.deeestuary.co.uk/lnodec00.htm","260 Grey Plover 8000 Knot 5500 Dunlin 50 Bar-tailed Godwit and 34 Redshank -|West Kirby|high tide roost counted by|DEVW| also some cold weather movements including 40 Redwing 300 Skylark and 100 Lapwing 1 Stonechat in sand dunes","check gridref","West Kirby","2000-12-28 00:00:00","50","Bar-tailed Godwit","Limosa lapponica","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. High tide roost counted by"
"http://www.deeestuary.co.uk/lnodec00.htm","260 Grey Plover 8000 Knot 5500 Dunlin 50 Bar-tailed Godwit and 34 Redshank -|West Kirby|high tide roost counted by|DEVW| also some cold weather movements including 40 Redwing 300 Skylark and 100 Lapwing 1 Stonechat in sand dunes","check gridref","West Kirby","2000-12-28 00:00:00","34","Redshank","Tringa totanus","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. High tide roost counted by"
"http://www.deeestuary.co.uk/lnodec00.htm","|Cold weather movements also at|Hoylake|including 2 Fieldfare 45+ Redwing 150+ Skylark and 24 Lapwing","check gridref","Hoylake","2000-12-28 00:00:00","2","Fieldfare","Turdus pilaris","Hoylake","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnodec00.htm","|Cold weather movements also at|Hoylake|including 2 Fieldfare 45+ Redwing 150+ Skylark and 24 Lapwing","check gridref","Hoylake","2000-12-28 00:00:00","45+","Redwing","Turdus iliacus","Hoylake","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnodec00.htm","|Cold weather movements also at|Hoylake|including 2 Fieldfare 45+ Redwing 150+ Skylark and 24 Lapwing","check gridref","Hoylake","2000-12-28 00:00:00","150+","Skylark","Alauda arvensis","Hoylake","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnodec00.htm","|Cold weather movements also at|Hoylake|including 2 Fieldfare 45+ Redwing 150+ Skylark and 24 Lapwing","check gridref","Hoylake","2000-12-28 00:00:00","24","Lapwing","Vanellus vanellus","Hoylake","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnodec00.htm","50 Greater Black-backed Gull and 60 Cormorant -|Oakenholt|","check species & gridref","[Greater Black-backed Gull] / [UNKNOWN LOCATION]","2000-12-27 00:00:00","50","Great Black-backed Gull","Larus marinus","Oakenholt","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnodec00.htm","50 Greater Black-backed Gull and 60 Cormorant -|Oakenholt|","check gridref","Oakenholt","2000-12-27 00:00:00","60","Cormorant","Phalacrocorax carbo","Oakenholt","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
