"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/locno00.htm","|73 Ringed Plover 2000 Dunlin 2 Grey Plover and 50 Knot -|West Kirby High Tide Roost|count carried out by|DEVW|","check gridref","West Kirby High Tide Roost","2000-10-29 00:00:00","73","Ringed Plover","Charadrius hiaticula","West Kirby High Tide Roost","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Count carried out by"
"http://www.deeestuary.co.uk/locno00.htm","|73 Ringed Plover 2000 Dunlin 2 Grey Plover and 50 Knot -|West Kirby High Tide Roost|count carried out by|DEVW|","check gridref","West Kirby High Tide Roost","2000-10-29 00:00:00","2000","Dunlin","Calidris alpina","West Kirby High Tide Roost","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Count carried out by"
"http://www.deeestuary.co.uk/locno00.htm","|73 Ringed Plover 2000 Dunlin 2 Grey Plover and 50 Knot -|West Kirby High Tide Roost|count carried out by|DEVW|","check gridref","West Kirby High Tide Roost","2000-10-29 00:00:00","2","Grey Plover","Pluvialis squatarola","West Kirby High Tide Roost","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Count carried out by"
"http://www.deeestuary.co.uk/locno00.htm","|73 Ringed Plover 2000 Dunlin 2 Grey Plover and 50 Knot -|West Kirby High Tide Roost|count carried out by|DEVW|","check gridref","West Kirby High Tide Roost","2000-10-29 00:00:00","50","Knot","Calidris canutus","West Kirby High Tide Roost","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Count carried out by"
"http://www.deeestuary.co.uk/locno00.htm","|350 Oystercatcher 2 dark-bellied Brent Geese 1 Peregrine Falcon and 73 Cormorant -|Little Eye|","check gridref","Little Eye","2000-10-29 00:00:00","350","Oystercatcher","Haematopus ostralegus","Little Eye","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/locno00.htm","|350 Oystercatcher 2 dark-bellied Brent Geese 1 Peregrine Falcon and 73 Cormorant -|Little Eye|","check species & gridref","[dark-bellied Brent Geese] / [UNKNOWN LOCATION]","2000-10-29 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Little Eye","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/locno00.htm","|350 Oystercatcher 2 dark-bellied Brent Geese 1 Peregrine Falcon and 73 Cormorant -|Little Eye|","check species & gridref","[Peregrine Falcon] / [UNKNOWN LOCATION]","2000-10-29 00:00:00","1","Peregrine","Falco peregrinus","Little Eye","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/locno00.htm","|350 Oystercatcher 2 dark-bellied Brent Geese 1 Peregrine Falcon and 73 Cormorant -|Little Eye|","check gridref","Little Eye","2000-10-29 00:00:00","73","Cormorant","Phalacrocorax carbo","Little Eye","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/locno00.htm","|2 Black Swan -|Inner Marsh Farm|","check species","Black Swan","2000-10-29 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/locno00.htm","|7 Little Gull -|Point of Ayr|","check gridref","Point of Ayr","2000-10-29 00:00:00","7","Little Gull","Hydrocoloeus minutus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
