"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lapmay01.htm","8 Greenland Wheatear 100 Dunlin and 10 Turnstone -|Hilbre Island|","check species & gridref","[Greenland Wheatear] / [UNKNOWN LOCATION]","2001-05-26 00:00:00","8","Wheatear","Oenanthe oenanthe","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","8 Greenland Wheatear 100 Dunlin and 10 Turnstone -|Hilbre Island|","check gridref","Hilbre Island","2001-05-26 00:00:00","100","Dunlin","Calidris alpina","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","8 Greenland Wheatear 100 Dunlin and 10 Turnstone -|Hilbre Island|","check gridref","Hilbre Island","2001-05-26 00:00:00","10","Turnstone","Arenaria interpres","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","1 Red Kite -|West Kirby","check gridref","West Kirby","2001-05-24 00:00:00","1","Red Kite","Milvus milvus","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","|1 Little Egret -|Point of Ayr","check gridref","Point of Ayr","2001-05-24 00:00:00","1","Little Egret","Egretta garzetta","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","2 Little Egret flying up river from|West Kirby|shore","check species & gridref","[Little Egret flying up river from] / [UNKNOWN LOCATION]","2001-05-23 00:00:00","2","Little Egret","Egretta garzetta","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Shore"
"http://www.deeestuary.co.uk/lapmay01.htm","|5 Whimbrel -|Hilbre Island|","check gridref","Hilbre Island","2001-05-23 00:00:00","5","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","1 Osprey -|Tansky Rocks|","check gridref","Tansky Rocks","2001-05-22 00:00:00","1","Osprey","Pandion haliaetus","Tansky Rocks","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","|4 Whimbrel and 62 Common Tern -|Hilbre Island|","check gridref","Hilbre Island","2001-05-22 00:00:00","4","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","|4 Whimbrel and 62 Common Tern -|Hilbre Island|","check gridref","Hilbre Island","2001-05-22 00:00:00","62","Common Tern","Sterna hirundo","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","1 Osprey -|Point of Ayr|","check gridref","Point of Ayr","2001-05-21 00:00:00","1","Osprey","Pandion haliaetus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lapmay01.htm","|1 Whinchat and 1 Spotted Flycatcher -|Red Rocks","ok","","2001-05-21 00:00:00","1","Whinchat","Saxicola rubetra","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
