"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","1","Great White Egret","Ardea alba","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","2","Little Egret","Egretta garzetta","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","6","Little Stint","Calidris minuta","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","7","Curlew Sandpiper","Calidris ferruginea","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","6","Spotted Redshank","Tringa erythropus","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","2","Greenshank","Tringa nebularia","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","2200","Black-tailed Godwit","Limosa limosa","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","1 Great White Egret 2 Little Egret 6 Little Stint 7 Curlew Sandpiper 6 Spotted Redshank 2 Greenshank 2200 Black-tailed Godwit and 17 Bar-tailed Godwit -|Connah's Quay Reserve","check gridref","Connah's Quay Reserve","2001-09-28 00:00:00","17","Bar-tailed Godwit","Limosa lapponica","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","|4000 Shelduck counted from|Thurstaston|cliffs just over the channel another 4000 estimated to be way out in the middle of the estuary","check species","Shelduck counted from","2001-09-28 00:00:00","4000","Shelduck","Tadorna tadorna","Thurstaston","SJ2383","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","|4000 Shelduck counted from|Thurstaston|cliffs just over the channel another 4000 estimated to be way out in the middle of the estuary","check species","estimated to be way out in the middle of the estuary","2001-09-28 00:00:00","4000","UNKNOWN SPECIES","UNKNOWN SPECIES","Thurstaston","SJ2383","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","18 Little Stint and 6 Ruff -|Inner Marsh Farm","ok","","2001-09-27 00:00:00","18","Little Stint","Calidris minuta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","18 Little Stint and 6 Ruff -|Inner Marsh Farm","ok","","2001-09-27 00:00:00","6","Ruff","Calidris pugnax","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","|3 Little Egret and 2 Greenshank -|Parkgate Marsh| Boathouse Flash","ok","","2001-09-27 00:00:00","3","Little Egret","Egretta garzetta","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Boathouse flash"
"http://www.deeestuary.co.uk/lausep01.htm","|3 Little Egret and 2 Greenshank -|Parkgate Marsh| Boathouse Flash","ok","","2001-09-27 00:00:00","2","Greenshank","Tringa nebularia","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Boathouse flash"
"http://www.deeestuary.co.uk/lausep01.htm","23 Little Stint and 1 Garganey -|Inner Marsh Farm","ok","","2001-09-26 00:00:00","23","Little Stint","Calidris minuta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","23 Little Stint and 1 Garganey -|Inner Marsh Farm","ok","","2001-09-26 00:00:00","1","Garganey","Spatula querquedula","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","|9 Little Stint -|Burton Marsh","check gridref","Burton Marsh","2001-09-26 00:00:00","9","Little Stint","Calidris minuta","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lausep01.htm","|4 Little Egret -|Parkgate Marsh","ok","","2001-09-26 00:00:00","4","Little Egret","Egretta garzetta","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
