"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljanmar01.htm","5000 Knot and 2000 Dunlin -|Hoylake Shore| some Kittiwakes on the shore late afternoon","check gridref","Hoylake Shore","2001-03-29 00:00:00","5000","Knot","Calidris canutus","Hoylake Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Some kittiwakes on the shore late afternoon"
"http://www.deeestuary.co.uk/ljanmar01.htm","5000 Knot and 2000 Dunlin -|Hoylake Shore| some Kittiwakes on the shore late afternoon","check gridref","Hoylake Shore","2001-03-29 00:00:00","2000","Dunlin","Calidris alpina","Hoylake Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Some kittiwakes on the shore late afternoon"
"http://www.deeestuary.co.uk/ljanmar01.htm","|1 Little Egret -|Parkgate Marsh|","ok","","2001-03-29 00:00:00","1","Little Egret","Egretta garzetta","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","3 Swallows *first of year* 19 Wheatears and 1 Chiffchaff -|Red Rocks","check species","Swallows *first of year*","2001-03-28 00:00:00","3","Swallow","Hirundo rustica","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","3 Swallows *first of year* 19 Wheatears and 1 Chiffchaff -|Red Rocks","check species","Wheatears","2001-03-28 00:00:00","19","Wheatear","Oenanthe oenanthe","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","3 Swallows *first of year* 19 Wheatears and 1 Chiffchaff -|Red Rocks","ok","","2001-03-28 00:00:00","1","Chiffchaff","Phylloscopus collybita","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|19 pale-bellied Brent Goose 1 dark-bellied Brent Goose -|Hilbre Island","check species & gridref","[pale-bellied Brent Goose] / [UNKNOWN LOCATION]","2001-03-28 00:00:00","19","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|19 pale-bellied Brent Goose 1 dark-bellied Brent Goose -|Hilbre Island","check species & gridref","[dark-bellied Brent Goose] / [UNKNOWN LOCATION]","2001-03-28 00:00:00","1","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|50 Wheatears 4 Chiffchaff and 2 Sand Martin -|Meols|","check species","Wheatears","2001-03-28 00:00:00","50","Wheatear","Oenanthe oenanthe","Meols","SJ220899","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|50 Wheatears 4 Chiffchaff and 2 Sand Martin -|Meols|","ok","","2001-03-28 00:00:00","4","Chiffchaff","Phylloscopus collybita","Meols","SJ220899","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|50 Wheatears 4 Chiffchaff and 2 Sand Martin -|Meols|","ok","","2001-03-28 00:00:00","2","Sand Martin","Riparia riparia","Meols","SJ220899","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|2 Wheatears -|West Kirby|sand dunes and 2 Goldeneye on the Marine Lake","check species & gridref","[Wheatears] / [UNKNOWN LOCATION]","2001-03-28 00:00:00","2","Wheatear","Oenanthe oenanthe","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|2 Wheatears -|West Kirby|sand dunes and 2 Goldeneye on the Marine Lake","check species & gridref","[Goldeneye on the Marine Lake] / [UNKNOWN LOCATION]","2001-03-28 00:00:00","2","Goldeneye","Bucephala clangula","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","|4 Wheatear -|Parkgate Marsh|","ok","","2001-03-28 00:00:00","4","Wheatear","Oenanthe oenanthe","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanmar01.htm","1 Ring Ouzel (male) and 2 Chiffchaff -|Hoylake","check gridref","Hoylake","2001-03-27 00:00:00","1","Ring Ouzel","Turdus torquatus","Hoylake","UNKNOWN LOCATION","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
