"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljunjul01.htm","|850 Black-headed Gull 5 Whimbrel 30 Common Tern 40 Sandwich Tern and 25 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-29 00:00:00","850","Black-headed Gull","Chroicocephalus ridibundus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|850 Black-headed Gull 5 Whimbrel 30 Common Tern 40 Sandwich Tern and 25 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-29 00:00:00","5","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|850 Black-headed Gull 5 Whimbrel 30 Common Tern 40 Sandwich Tern and 25 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-29 00:00:00","30","Common Tern","Sterna hirundo","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|850 Black-headed Gull 5 Whimbrel 30 Common Tern 40 Sandwich Tern and 25 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-29 00:00:00","40","Sandwich Tern","Thalasseus sandvicensis","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|850 Black-headed Gull 5 Whimbrel 30 Common Tern 40 Sandwich Tern and 25 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-29 00:00:00","25","Little Tern","Sternula albifrons","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check species & gridref","[to] / [UNKNOWN LOCATION]","2001-07-29 00:00:00","300","Stock Dove","Columba oenas","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check gridref","Leasowe Shore","2001-07-29 00:00:00","400","Black-headed Gull","Chroicocephalus ridibundus","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check gridref","Leasowe Shore","2001-07-29 00:00:00","10","Curlew","Numenius arquata","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check gridref","Leasowe Shore","2001-07-29 00:00:00","2","Ringed Plover","Charadrius hiaticula","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check species & gridref","[Bar-tailed Godwit in summer plumage] / [UNKNOWN LOCATION]","2001-07-29 00:00:00","1","Bar-tailed Godwit","Limosa lapponica","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|300 to 400 Black-headed Gull 10 Curlew 2 Ringed Plover 1 Bar-tailed Godwit in summer plumage and 35 Turnstone -|Leasowe Shore","check gridref","Leasowe Shore","2001-07-29 00:00:00","35","Turnstone","Arenaria interpres","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|1 Little Stint (juvenile) -|Inner Marsh Farm","ok","","2001-07-29 00:00:00","1","Little Stint","Calidris minuta","Inner Marsh Farm","SJ307741","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","9 Sanderling 1 Whimbrel 25 Common Tern 50 Sandwich Tern and 60 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-28 00:00:00","9","Sanderling","Calidris alba","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","9 Sanderling 1 Whimbrel 25 Common Tern 50 Sandwich Tern and 60 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-28 00:00:00","1","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","9 Sanderling 1 Whimbrel 25 Common Tern 50 Sandwich Tern and 60 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-28 00:00:00","25","Common Tern","Sterna hirundo","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","9 Sanderling 1 Whimbrel 25 Common Tern 50 Sandwich Tern and 60 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-28 00:00:00","50","Sandwich Tern","Thalasseus sandvicensis","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","9 Sanderling 1 Whimbrel 25 Common Tern 50 Sandwich Tern and 60 Little Tern -|Hilbre Island","check gridref","Hilbre Island","2001-07-28 00:00:00","60","Little Tern","Sternula albifrons","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","420 Sandwich Tern and 1 Arctic Skua -|Gronant","ok","","2001-07-27 00:00:00","420","Sandwich Tern","Thalasseus sandvicensis","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","420 Sandwich Tern and 1 Arctic Skua -|Gronant","ok","","2001-07-27 00:00:00","1","Arctic Skua","Stercorarius parasiticus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|4 Whimbrel 1 Arctic Skua 1 Peregrine Falcon and 1 Yellow-legged Gull -|Hilbre Island","check gridref","Hilbre Island","2001-07-27 00:00:00","4","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|4 Whimbrel 1 Arctic Skua 1 Peregrine Falcon and 1 Yellow-legged Gull -|Hilbre Island","check gridref","Hilbre Island","2001-07-27 00:00:00","1","Arctic Skua","Stercorarius parasiticus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|4 Whimbrel 1 Arctic Skua 1 Peregrine Falcon and 1 Yellow-legged Gull -|Hilbre Island","check species & gridref","[Peregrine Falcon] / [UNKNOWN LOCATION]","2001-07-27 00:00:00","1","Peregrine","Falco peregrinus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljunjul01.htm","|4 Whimbrel 1 Arctic Skua 1 Peregrine Falcon and 1 Yellow-legged Gull -|Hilbre Island","check gridref","Hilbre Island","2001-07-27 00:00:00","1","Yellow-legged Gull","Larus michahellis","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
