"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/loctnov01.htm","5500 Shelduck and 1200 Black-tailed Godwit -|Heswall/ Thurstaston Shore| two hours after high tide","check gridref","Heswall/ Thurstaston Shore","2001-11-28 00:00:00","5500","Shelduck","Tadorna tadorna","Heswall/ Thurstaston Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Two hours after high tide"
"http://www.deeestuary.co.uk/loctnov01.htm","5500 Shelduck and 1200 Black-tailed Godwit -|Heswall/ Thurstaston Shore| two hours after high tide","check gridref","Heswall/ Thurstaston Shore","2001-11-28 00:00:00","1200","Black-tailed Godwit","Limosa limosa","Heswall/ Thurstaston Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Two hours after high tide"
"http://www.deeestuary.co.uk/loctnov01.htm","|5 Goldeneye and 20 Red-breasted Merganser -|West Kirby marine lake|","ok","","2001-11-28 00:00:00","5","Goldeneye","Bucephala clangula","West Kirby marine lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","|5 Goldeneye and 20 Red-breasted Merganser -|West Kirby marine lake|","ok","","2001-11-28 00:00:00","20","Red-breasted Merganser","Mergus serrator","West Kirby marine lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","|8 Little Egret -|Denhall Quay|","ok","","2001-11-28 00:00:00","8","Little Egret","Egretta garzetta","Denhall Quay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","|8 Short-eared Owls -|Point of Ayr|","check species & gridref","[Short-eared Owls] / [UNKNOWN LOCATION]","2001-11-28 00:00:00","8","Short-eared Owl","Asio flammeus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","13 Little Egret -|Denhall Quay|","ok","","2001-11-27 00:00:00","13","Little Egret","Egretta garzetta","Denhall Quay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","|1 Water Pipit -|Neston Old Quay|","ok","","2001-11-27 00:00:00","1","Water Pipit","Anthus spinoletta","Neston Old Quay","SJ285768","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","|2 Stonechat -|Burton Marsh","check gridref","Burton Marsh","2001-11-27 00:00:00","2","Stonechat","Saxicola rubicola","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/loctnov01.htm","4 Short-eared Owl - fields near|Leasowe Lighthouse|","check species","Short-eared Owl - fields near","2001-11-26 00:00:00","4","Short-eared Owl","Asio flammeus","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
