"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljafb02.htm","1 Green-winged Teal (drake) -|Inner Marsh Farm","ok","","2002-02-26 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|6 Great Northern Diver and 6 Scaup -|Point of Ayr|","check gridref","Point of Ayr","2002-02-26 00:00:00","6","Great Northern Diver","Gavia immer","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|6 Great Northern Diver and 6 Scaup -|Point of Ayr|","check gridref","Point of Ayr","2002-02-26 00:00:00","6","Scaup","Aythya marila","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","44 Ringed Plover -|On sea wall at Moreton|","check gridref","On sea wall at Moreton","2002-02-25 00:00:00","44","Ringed Plover","Charadrius hiaticula","On sea wall at Moreton","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","200+ Bar-tailed Godwit and 4 Stonechat -|Leasowe Shore|","check gridref","Leasowe Shore","2002-02-24 00:00:00","200+","Bar-tailed Godwit","Limosa lapponica","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","200+ Bar-tailed Godwit and 4 Stonechat -|Leasowe Shore|","check gridref","Leasowe Shore","2002-02-24 00:00:00","4","Stonechat","Saxicola rubicola","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","11 Spotted Redshank and 30 Black-tailed Godwit -|Inner Marsh Farm|","ok","","2002-02-23 00:00:00","11","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","11 Spotted Redshank and 30 Black-tailed Godwit -|Inner Marsh Farm|","ok","","2002-02-23 00:00:00","30","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|2 Smew (1 drake) -|Shotwick Boating Lake|","ok","","2002-02-23 00:00:00","2","Smew","Mergellus albellus","Shotwick Boating Lake","SJ315725","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|2 Smew (1 drake) -|Shotwick Boating Lake|","check species","","2002-02-23 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Shotwick Boating Lake","SJ315725","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|200 Bar-tailed Godwit -|Leasowe Shore|","check gridref","Leasowe Shore","2002-02-23 00:00:00","200","Bar-tailed Godwit","Limosa lapponica","Leasowe Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","9 Spotted Redshank 1 Little Egret and 8 Ruff -|Inner Marsh Farm|","ok","","2002-02-22 00:00:00","9","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","9 Spotted Redshank 1 Little Egret and 8 Ruff -|Inner Marsh Farm|","ok","","2002-02-22 00:00:00","1","Little Egret","Egretta garzetta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","9 Spotted Redshank 1 Little Egret and 8 Ruff -|Inner Marsh Farm|","ok","","2002-02-22 00:00:00","8","Ruff","Calidris pugnax","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","1 Little Egret 23 Bewick's Swan 1 Barn Owl and 3 Smew (2 drake) -|Inner Marsh Farm|","ok","","2002-02-21 00:00:00","1","Little Egret","Egretta garzetta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","1 Little Egret 23 Bewick's Swan 1 Barn Owl and 3 Smew (2 drake) -|Inner Marsh Farm|","ok","","2002-02-21 00:00:00","23","Bewick's Swan","Cygnus columbianus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","1 Little Egret 23 Bewick's Swan 1 Barn Owl and 3 Smew (2 drake) -|Inner Marsh Farm|","ok","","2002-02-21 00:00:00","1","Barn Owl","Tyto alba","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","1 Little Egret 23 Bewick's Swan 1 Barn Owl and 3 Smew (2 drake) -|Inner Marsh Farm|","ok","","2002-02-21 00:00:00","3","Smew","Mergellus albellus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","1 Little Egret 23 Bewick's Swan 1 Barn Owl and 3 Smew (2 drake) -|Inner Marsh Farm|","check species","","2002-02-21 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|40 Black-tailed Godwit -|Caldy Wildfowl collection|(just across the A540 from Stapledon Wood)","check gridref","Caldy Wildfowl collection","2002-02-21 00:00:00","40","Black-tailed Godwit","Limosa limosa","Caldy Wildfowl collection","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|40 Black-tailed Godwit -|Caldy Wildfowl collection|(just across the A540 from Stapledon Wood)","check species & gridref","[from Stapledon Wood] / [UNKNOWN LOCATION]","2002-02-21 00:00:00","540","UNKNOWN SPECIES","UNKNOWN SPECIES","Caldy Wildfowl collection","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|35 Brent Goose (3 dark-bellied 32 light-bellied) -|Hilbre Island|","check gridref","Hilbre Island","2002-02-21 00:00:00","35","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|35 Brent Goose (3 dark-bellied 32 light-bellied) -|Hilbre Island|","check species & gridref","[dark-bellied] / [UNKNOWN LOCATION]","2002-02-21 00:00:00","3","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafb02.htm","|35 Brent Goose (3 dark-bellied 32 light-bellied) -|Hilbre Island|","check species & gridref","[light-bellied] / [UNKNOWN LOCATION]","2002-02-21 00:00:00","32","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
