"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljulaug02.htm","1 Merlin and 5 Little Egret -|Heswall Shore| 2 Ravens seen flying over fields inland","ok","","2002-08-29 00:00:00","1","Merlin","Falco columbarius","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","1 Merlin and 5 Little Egret -|Heswall Shore| 2 Ravens seen flying over fields inland","ok","","2002-08-29 00:00:00","5","Little Egret","Egretta garzetta","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","1 Merlin and 5 Little Egret -|Heswall Shore| 2 Ravens seen flying over fields inland","check species","Ravens seen flying over fields inland","2002-08-29 00:00:00","2","Raven","Corvus corax","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|800 Black-tailed Godwit -|Connah's Quay reserve","check gridref","Connah's Quay reserve","2002-08-29 00:00:00","800","Black-tailed Godwit","Limosa limosa","Connah's Quay reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Spotted Crake 1 Garganey and 6 Green Sandpiper -|Inner Marsh Farm","ok","","2002-08-29 00:00:00","1","Spotted Crake","Porzana porzana","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Spotted Crake 1 Garganey and 6 Green Sandpiper -|Inner Marsh Farm","ok","","2002-08-29 00:00:00","1","Garganey","Spatula querquedula","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Spotted Crake 1 Garganey and 6 Green Sandpiper -|Inner Marsh Farm","ok","","2002-08-29 00:00:00","6","Green Sandpiper","Tringa ochropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Sooty Shearwater 12 Arctic Skua and 3 Great Skua -|Hilbre Island|","check gridref","Hilbre Island","2002-08-29 00:00:00","1","Sooty Shearwater","Ardenna grisea","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Sooty Shearwater 12 Arctic Skua and 3 Great Skua -|Hilbre Island|","check gridref","Hilbre Island","2002-08-29 00:00:00","12","Arctic Skua","Stercorarius parasiticus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljulaug02.htm","|1 Sooty Shearwater 12 Arctic Skua and 3 Great Skua -|Hilbre Island|","check gridref","Hilbre Island","2002-08-29 00:00:00","3","Great Skua","Stercorarius skua","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
