"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmayjun02.htm","1 Little Egret and 1 Spoonbill -|Inner Marsh Farm","ok","","2002-06-28 00:00:00","1","Little Egret","Egretta garzetta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","1 Little Egret and 1 Spoonbill -|Inner Marsh Farm","ok","","2002-06-28 00:00:00","1","Spoonbill","Platalea leucorodia","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","|2 Short-eared Owl over|West Kirby| (this very unusual sighting for June confirmed by experienced birder Owls flew 100ft over his garden)","check species & gridref","[Short-eared Owl over] / [UNKNOWN LOCATION]","2002-06-28 00:00:00","2","Short-eared Owl","Asio flammeus","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","|2 Short-eared Owl over|West Kirby| (this very unusual sighting for June confirmed by experienced birder Owls flew 100ft over his garden)","check species & gridref","[ft over his garden] / [UNKNOWN LOCATION]","2002-06-28 00:00:00","100","UNKNOWN SPECIES","UNKNOWN SPECIES","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","1 Mediterranean Gull (adult) and 39 Black-tailed Godwit -|Inner Marsh Farm","ok","","2002-06-27 00:00:00","1","Mediterranean Gull","Ichthyaetus melanocephalus","Inner Marsh Farm","SJ307741","Adult","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","1 Mediterranean Gull (adult) and 39 Black-tailed Godwit -|Inner Marsh Farm","ok","","2002-06-27 00:00:00","39","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","|2 Little Egret -|Burton Marsh","check gridref","Burton Marsh","2002-06-27 00:00:00","2","Little Egret","Egretta garzetta","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","|1 Greenshank -|Parkgate Boathouse Flash|","check gridref","Parkgate Boathouse Flash","2002-06-27 00:00:00","1","Greenshank","Tringa nebularia","Parkgate Boathouse Flash","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","1 Fulmar over|West Kirby|","check species & gridref","[Fulmar over] / [UNKNOWN LOCATION]","2002-06-26 00:00:00","1","Fulmar","Fulmarus glacialis","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmayjun02.htm","|1 Little Egret -|Burton Marsh","check gridref","Burton Marsh","2002-06-26 00:00:00","1","Little Egret","Egretta garzetta","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
