"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lnode02.htm","3 Snow Bunting -|Wallasey shore (west of coastguard station)|and 2500 Bar-tailed Godwit on nearby Leasowe shore as tide went out this morning","check gridref","Wallasey shore (west of coastguard station)","2002-12-30 00:00:00","3","Snow Bunting","Plectrophenax nivalis","Wallasey shore (west of coastguard station)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","3 Snow Bunting -|Wallasey shore (west of coastguard station)|and 2500 Bar-tailed Godwit on nearby Leasowe shore as tide went out this morning","check species & gridref","[Bar-tailed Godwit on nearby Leasowe shore as tide went out this morning] / [UNKNOWN LOCATION]","2002-12-30 00:00:00","2500","Bar-tailed Godwit","Limosa lapponica","Wallasey shore (west of coastguard station)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Smew (drake) 1 Green-winged Teal (drake) 1 American Wigeon (drake) 5 Ruff and 1 White-fronted Goose (European race) -|Inner Marsh Farm","ok","","2002-12-30 00:00:00","1","Smew","Mergellus albellus","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Smew (drake) 1 Green-winged Teal (drake) 1 American Wigeon (drake) 5 Ruff and 1 White-fronted Goose (European race) -|Inner Marsh Farm","ok","","2002-12-30 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Smew (drake) 1 Green-winged Teal (drake) 1 American Wigeon (drake) 5 Ruff and 1 White-fronted Goose (European race) -|Inner Marsh Farm","ok","","2002-12-30 00:00:00","1","American Wigeon","Mareca americana","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Smew (drake) 1 Green-winged Teal (drake) 1 American Wigeon (drake) 5 Ruff and 1 White-fronted Goose (European race) -|Inner Marsh Farm","ok","","2002-12-30 00:00:00","5","Ruff","Calidris pugnax","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Smew (drake) 1 Green-winged Teal (drake) 1 American Wigeon (drake) 5 Ruff and 1 White-fronted Goose (European race) -|Inner Marsh Farm","check species","White-fronted Goose European race","2002-12-30 00:00:00","1","White-fronted Goose","Anser albifrons","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Hen Harrier (ringtail) flew into roost at dusk -|Parkgate Old Baths|","check species & gridref","[Hen Harrier  flew into roost at dusk] / [UNKNOWN LOCATION]","2002-12-30 00:00:00","1","Hen Harrier","Circus cyaneus","Parkgate Old Baths","UNKNOWN LOCATION","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|2 Bullfinch -|Cubbins Green|","ok","","2002-12-30 00:00:00","2","Bullfinch","Pyrrhula pyrrhula","Cubbins Green","SJ219853","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","1 Hen Harrier (ringtail) flew into roost at dusk -|Parkgate Old Baths|","check species & gridref","[Hen Harrier  flew into roost at dusk] / [UNKNOWN LOCATION]","2002-12-29 00:00:00","1","Hen Harrier","Circus cyaneus","Parkgate Old Baths","UNKNOWN LOCATION","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","|1 Woodcock over|West Kirby|(near Gilroy pond)","check species & gridref","[Woodcock over] / [UNKNOWN LOCATION]","2002-12-29 00:00:00","1","Woodcock","Scolopax rusticola","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. (near gilroy pond)"
"http://www.deeestuary.co.uk/lnode02.htm","|3 Snow Bunting -|Wallasey shore (west of coastguard station)","check gridref","Wallasey shore (west of coastguard station)","2002-12-29 00:00:00","3","Snow Bunting","Plectrophenax nivalis","Wallasey shore (west of coastguard station)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnode02.htm","1 Rock Pipit 5+ Purple Sandpiper and 21 Brent Goose (pale-bellied)|-|Hilbre Island|","check gridref","-","2002-12-28 00:00:00","1","Rock Pipit","Anthus petrosus","-","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Hilbre island"
"http://www.deeestuary.co.uk/lnode02.htm","1 Rock Pipit 5+ Purple Sandpiper and 21 Brent Goose (pale-bellied)|-|Hilbre Island|","check gridref","-","2002-12-28 00:00:00","5+","Purple Sandpiper","Calidris maritima","-","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Hilbre island"
