"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lsepoc02.htm","1 Whinchat 3 Stonechat and 6 Greater Spotted Woodpecker -|Hoylake Langfields","ok","","2002-10-28 00:00:00","1","Whinchat","Saxicola rubetra","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","1 Whinchat 3 Stonechat and 6 Greater Spotted Woodpecker -|Hoylake Langfields","ok","","2002-10-28 00:00:00","3","Stonechat","Saxicola rubicola","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","1 Whinchat 3 Stonechat and 6 Greater Spotted Woodpecker -|Hoylake Langfields","check species","Greater Spotted Woodpecker","2002-10-28 00:00:00","6","Great Spotted Woodpecker","Dendrocopos major","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|1 Leach's Petrel 1 Long-tailed Duck and 1 Mediterranean Gull -|north Wirral shore (Leasowe/ New Brighton)","check species & gridref","[Leach's Petrel] / [UNKNOWN LOCATION]","2002-10-28 00:00:00","1","Leach’s Petrel","Oceanodroma leucorhoa","north Wirral shore (Leasowe/ New Brighton)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|1 Leach's Petrel 1 Long-tailed Duck and 1 Mediterranean Gull -|north Wirral shore (Leasowe/ New Brighton)","check gridref","north Wirral shore (Leasowe/ New Brighton)","2002-10-28 00:00:00","1","Long-tailed Duck","Clangula hyemalis","north Wirral shore (Leasowe/ New Brighton)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|1 Leach's Petrel 1 Long-tailed Duck and 1 Mediterranean Gull -|north Wirral shore (Leasowe/ New Brighton)","check gridref","north Wirral shore (Leasowe/ New Brighton)","2002-10-28 00:00:00","1","Mediterranean Gull","Ichthyaetus melanocephalus","north Wirral shore (Leasowe/ New Brighton)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","ok","","2002-10-28 00:00:00","2","Curlew Sandpiper","Calidris ferruginea","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","ok","","2002-10-28 00:00:00","2","Bewick's Swan","Cygnus columbianus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","ok","","2002-10-28 00:00:00","1","Water Rail","Rallus aquaticus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","ok","","2002-10-28 00:00:00","1","Stonechat","Saxicola rubicola","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","check species","Common Buzzard","2002-10-28 00:00:00","1","Buzzard","Buteo buteo","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|2 Curlew Sandpiper 2 Bewick's Swan 1 Water Rail 1 Stonechat and 1 Common Buzzard -|Inner Marsh Farm|also 30 Little Egret roosting (another record)","check species","Little Egret roosting another record","2002-10-28 00:00:00","30","Little Egret","Egretta garzetta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","2 Leach's Petrel seen flying towards the mouth of the estuary past|Holywell","check species","Leach's Petrel seen flying towards the mouth of the estuary past","2002-10-27 00:00:00","2","Leach’s Petrel","Oceanodroma leucorhoa","Holywell","SJ1876","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lsepoc02.htm","|7 Leach's Petrel 1 Sabine's Gull (adult) 1 Little Gull (adult) 1 Grey Phalarope 1 Mediterranean Gull 1 Arctic Skua 1 probable dark-phased Long-tailed Skua 1 Great Skua and many Kittiwake -|north Wirral shore (Leasowe/ New Brighton)","check species & gridref","[Leach's Petrel] / [UNKNOWN LOCATION]","2002-10-27 00:00:00","7","Leach’s Petrel","Oceanodroma leucorhoa","north Wirral shore (Leasowe/ New Brighton)","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
