"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljanfb03.htm","100 Pink-footed Goose and 16 white-fronted Goose (European) -|Burton Marsh|","check gridref","Burton Marsh","2003-02-27 00:00:00","100","Pink-footed Goose","Anser brachyrhynchus","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","100 Pink-footed Goose and 16 white-fronted Goose (European) -|Burton Marsh|","check species & gridref","[white-fronted Goose European] / [Burton Marsh,]","2003-02-27 00:00:00","16","White-fronted Goose","Anser albifrons","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","|70 Bewick's Swan with 20 Mute Swan -|Denhall Quay|","check species","Bewick's Swan with","2003-02-27 00:00:00","70","Bewick's Swan","Cygnus columbianus","Denhall Quay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","|70 Bewick's Swan with 20 Mute Swan -|Denhall Quay|","ok","","2003-02-27 00:00:00","20","Mute Swan","Cygnus olor","Denhall Quay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","|1 Smew (drake) -|Inner Marsh Farm|","ok","","2003-02-27 00:00:00","1","Smew","Mergellus albellus","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","|350 Black-tailed Godwit -|Thurstaston Shore","ok","","2003-02-27 00:00:00","350","Black-tailed Godwit","Limosa limosa","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","16 Brent Goose (15 pale-bellied 1 dark-bellied) 9 Purple Sandpiper 1 Peregrine 1 Stonechat (f) 1 Common Scoter 1 Shag and 7 Great Crested Grebe -|Hilbre Island","check gridref","Hilbre Island","2003-02-26 00:00:00","16","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","16 Brent Goose (15 pale-bellied 1 dark-bellied) 9 Purple Sandpiper 1 Peregrine 1 Stonechat (f) 1 Common Scoter 1 Shag and 7 Great Crested Grebe -|Hilbre Island","check species & gridref","[pale-bellied] / [UNKNOWN LOCATION]","2003-02-26 00:00:00","15","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","16 Brent Goose (15 pale-bellied 1 dark-bellied) 9 Purple Sandpiper 1 Peregrine 1 Stonechat (f) 1 Common Scoter 1 Shag and 7 Great Crested Grebe -|Hilbre Island","check species & gridref","[dark-bellied] / [UNKNOWN LOCATION]","2003-02-26 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljanfb03.htm","16 Brent Goose (15 pale-bellied 1 dark-bellied) 9 Purple Sandpiper 1 Peregrine 1 Stonechat (f) 1 Common Scoter 1 Shag and 7 Great Crested Grebe -|Hilbre Island","check gridref","Hilbre Island","2003-02-26 00:00:00","9","Purple Sandpiper","Calidris maritima","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
