"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","1","Redstart","Phoenicurus phoenicurus","Red Rocks","SJ203883","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","1","Ring Ouzel","Turdus torquatus","Red Rocks","SJ203883","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","1","Grasshopper Warbler","Locustella naevia","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","7","Sedge Warbler","Acrocephalus schoenobaenus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","1","Reed Warbler","Acrocephalus scirpaceus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","check species","White Wagtail","2003-04-29 00:00:00","10","Pied Wagtail","Motacilla alba","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","12","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","1","Peregrine","Falco peregrinus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","4","Whimbrel","Numenius phaeopus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmarapr03.htm","1 Redstart (female) 1 Ring Ouzel (male) 1 Grasshopper Warbler 7 Sedge Warbler 1 Reed Warbler and 10 White Wagtail -|Red Rocks|Marsh and 12 Gannet 1 Peregrine 4 Whimbrel 7 Sandwich Tern 5 Arctic Tern and 1 Arctic Skua off shore early this morning","ok","","2003-04-29 00:00:00","7","Sandwich Tern","Thalasseus sandvicensis","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
