"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmyjn03.htm","1 Ruddy Shelduck and 500 Black-tailed Godwit -|Flint Shore|","ok","","2003-06-28 00:00:00","1","Ruddy Shelduck","Tadorna ferruginea","Flint Shore","SJ2573","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","1 Ruddy Shelduck and 500 Black-tailed Godwit -|Flint Shore|","ok","","2003-06-28 00:00:00","500","Black-tailed Godwit","Limosa limosa","Flint Shore","SJ2573","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|2 Little Owl and 1 Grasshopper Warbler -|Parkgate|","ok","","2003-06-28 00:00:00","2","Little Owl","Athene noctua","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|2 Little Owl and 1 Grasshopper Warbler -|Parkgate|","ok","","2003-06-28 00:00:00","1","Grasshopper Warbler","Locustella naevia","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","60 Black-tailed Godwit and 2 Water Rail -|Inner Marsh Farm|","ok","","2003-06-27 00:00:00","60","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","60 Black-tailed Godwit and 2 Water Rail -|Inner Marsh Farm|","ok","","2003-06-27 00:00:00","2","Water Rail","Rallus aquaticus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","160 Black-tailed Godwit -|Inner Marsh Farm|","ok","","2003-06-26 00:00:00","160","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|120 Curlew 30 Common Tern 18 Sandwich Tern and 120 Swift -|Hilbre Island|","check gridref","Hilbre Island","2003-06-26 00:00:00","120","Curlew","Numenius arquata","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|120 Curlew 30 Common Tern 18 Sandwich Tern and 120 Swift -|Hilbre Island|","check gridref","Hilbre Island","2003-06-26 00:00:00","30","Common Tern","Sterna hirundo","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|120 Curlew 30 Common Tern 18 Sandwich Tern and 120 Swift -|Hilbre Island|","check gridref","Hilbre Island","2003-06-26 00:00:00","18","Sandwich Tern","Thalasseus sandvicensis","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","|120 Curlew 30 Common Tern 18 Sandwich Tern and 120 Swift -|Hilbre Island|","check gridref","Hilbre Island","2003-06-26 00:00:00","120","Swift","Apus apus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmyjn03.htm","6 Gannet 8 Sandwich Tern 1 Common Buzzard and 35 Common Scoter -|Gronant| Little Terns doing well - will have an update in July Newsletter","ok","","2003-06-25 00:00:00","6","Gannet","Morus bassanus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns doing well - will have an update in july newsletter"
"http://www.deeestuary.co.uk/lmyjn03.htm","6 Gannet 8 Sandwich Tern 1 Common Buzzard and 35 Common Scoter -|Gronant| Little Terns doing well - will have an update in July Newsletter","ok","","2003-06-25 00:00:00","8","Sandwich Tern","Thalasseus sandvicensis","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns doing well - will have an update in july newsletter"
"http://www.deeestuary.co.uk/lmyjn03.htm","6 Gannet 8 Sandwich Tern 1 Common Buzzard and 35 Common Scoter -|Gronant| Little Terns doing well - will have an update in July Newsletter","check species","Common Buzzard","2003-06-25 00:00:00","1","Buzzard","Buteo buteo","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns doing well - will have an update in july newsletter"
"http://www.deeestuary.co.uk/lmyjn03.htm","6 Gannet 8 Sandwich Tern 1 Common Buzzard and 35 Common Scoter -|Gronant| Little Terns doing well - will have an update in July Newsletter","ok","","2003-06-25 00:00:00","35","Common Scoter","Melanitta nigra","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns doing well - will have an update in july newsletter"
"http://www.deeestuary.co.uk/lmyjn03.htm","|1 Little Egret 5 Spotted Redshank and 400 Black-tailed Godwit -|Inner Marsh Farm|","ok","","2003-06-25 00:00:00","1","Little Egret","Egretta garzetta","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
