"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lnovdec03.htm","Estimate of 4000 Bar-tailed Godwit 15000 Knot and 8000 Dunlin -|Leasowe|at low tide","check gridref","Leasowe","2003-12-30 00:00:00","4000","Bar-tailed Godwit","Limosa lapponica","Leasowe","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At low tide"
"http://www.deeestuary.co.uk/lnovdec03.htm","Estimate of 4000 Bar-tailed Godwit 15000 Knot and 8000 Dunlin -|Leasowe|at low tide","check gridref","Leasowe","2003-12-30 00:00:00","15000","Knot","Calidris canutus","Leasowe","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At low tide"
"http://www.deeestuary.co.uk/lnovdec03.htm","Estimate of 4000 Bar-tailed Godwit 15000 Knot and 8000 Dunlin -|Leasowe|at low tide","check gridref","Leasowe","2003-12-30 00:00:00","8000","Dunlin","Calidris alpina","Leasowe","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At low tide"
"http://www.deeestuary.co.uk/lnovdec03.htm","|5000 Knot and 1500 Black-tailed Godwit -|Thurstaston Shore|at low tide","ok","","2003-12-30 00:00:00","5000","Knot","Calidris canutus","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At low tide"
"http://www.deeestuary.co.uk/lnovdec03.htm","|5000 Knot and 1500 Black-tailed Godwit -|Thurstaston Shore|at low tide","ok","","2003-12-30 00:00:00","1500","Black-tailed Godwit","Limosa limosa","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At low tide"
"http://www.deeestuary.co.uk/lnovdec03.htm","|9 Goldeneye and 4 Red-breasted Merganser -|West Kirby|Marine Lake","check gridref","West Kirby","2003-12-30 00:00:00","9","Goldeneye","Bucephala clangula","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Marine lake"
"http://www.deeestuary.co.uk/lnovdec03.htm","|9 Goldeneye and 4 Red-breasted Merganser -|West Kirby|Marine Lake","check gridref","West Kirby","2003-12-30 00:00:00","4","Red-breasted Merganser","Mergus serrator","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Marine lake"
"http://www.deeestuary.co.uk/lnovdec03.htm","|4 Hen Harrier (ring-tail) 1 Short-eared Owl 1 Merlin and 1 Barn Owl -|Parkgate|Old Baths","ok","","2003-12-30 00:00:00","4","Hen Harrier","Circus cyaneus","Parkgate","SJ 273 789","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Old baths"
"http://www.deeestuary.co.uk/lnovdec03.htm","|4 Hen Harrier (ring-tail) 1 Short-eared Owl 1 Merlin and 1 Barn Owl -|Parkgate|Old Baths","ok","","2003-12-30 00:00:00","1","Short-eared Owl","Asio flammeus","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Old baths"
"http://www.deeestuary.co.uk/lnovdec03.htm","|4 Hen Harrier (ring-tail) 1 Short-eared Owl 1 Merlin and 1 Barn Owl -|Parkgate|Old Baths","ok","","2003-12-30 00:00:00","1","Merlin","Falco columbarius","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Old baths"
"http://www.deeestuary.co.uk/lnovdec03.htm","|4 Hen Harrier (ring-tail) 1 Short-eared Owl 1 Merlin and 1 Barn Owl -|Parkgate|Old Baths","ok","","2003-12-30 00:00:00","1","Barn Owl","Tyto alba","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Old baths"
"http://www.deeestuary.co.uk/lnovdec03.htm","|42 Brent Goose (mostly pale-bellied but at least 2 dark-bellied) -|Hilbre Island| Brent Geese at record numbers","check species & gridref","[Brent Goose mostly pale-bellied but at least] / [UNKNOWN LOCATION]","2003-12-30 00:00:00","42","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Brent geese at record numbers"
"http://www.deeestuary.co.uk/lnovdec03.htm","|42 Brent Goose (mostly pale-bellied but at least 2 dark-bellied) -|Hilbre Island| Brent Geese at record numbers","check species & gridref","[dark-bellied] / [UNKNOWN LOCATION]","2003-12-30 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Brent geese at record numbers"
"http://www.deeestuary.co.uk/lnovdec03.htm","24 Brent Goose (pale-bellied) 12 Great Crested Grebe and 6+ Purple Sandpiper -|Hilbre Island| 6000 Herring Gull on West Hoyle Bank","check species & gridref","[Brent Goose pale-bellied] / [UNKNOWN LOCATION]","2003-12-29 00:00:00","24","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","24 Brent Goose (pale-bellied) 12 Great Crested Grebe and 6+ Purple Sandpiper -|Hilbre Island| 6000 Herring Gull on West Hoyle Bank","check gridref","Hilbre Island","2003-12-29 00:00:00","12","Great Crested Grebe","Podiceps cristatus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","24 Brent Goose (pale-bellied) 12 Great Crested Grebe and 6+ Purple Sandpiper -|Hilbre Island| 6000 Herring Gull on West Hoyle Bank","check gridref","Hilbre Island","2003-12-29 00:00:00","6+","Purple Sandpiper","Calidris maritima","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","24 Brent Goose (pale-bellied) 12 Great Crested Grebe and 6+ Purple Sandpiper -|Hilbre Island| 6000 Herring Gull on West Hoyle Bank","check species & gridref","[Herring Gull on West Hoyle Bank] / [UNKNOWN LOCATION]","2003-12-29 00:00:00","6000","Herring Gull","Larus argentatus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|1 Hen Harrier -|Inner Marsh Farm|","ok","","2003-12-29 00:00:00","1","Hen Harrier","Circus cyaneus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|3 Short-eared Owl 1 Hen Harrier and 2 Little Egret -|Burton Marsh Burton Point","check gridref","Burton Marsh Burton Point","2003-12-29 00:00:00","3","Short-eared Owl","Asio flammeus","Burton Marsh Burton Point","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|3 Short-eared Owl 1 Hen Harrier and 2 Little Egret -|Burton Marsh Burton Point","check gridref","Burton Marsh Burton Point","2003-12-29 00:00:00","1","Hen Harrier","Circus cyaneus","Burton Marsh Burton Point","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|3 Short-eared Owl 1 Hen Harrier and 2 Little Egret -|Burton Marsh Burton Point","check gridref","Burton Marsh Burton Point","2003-12-29 00:00:00","2","Little Egret","Egretta garzetta","Burton Marsh Burton Point","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|2 Hen Harrier 1 Short-eared Owl 1 Little Egret and mixed flock of Yellowhammer Linnet and Chaffinch -|Neston Marsh","check gridref","Neston Marsh","2003-12-29 00:00:00","2","Hen Harrier","Circus cyaneus","Neston Marsh","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|2 Hen Harrier 1 Short-eared Owl 1 Little Egret and mixed flock of Yellowhammer Linnet and Chaffinch -|Neston Marsh","check gridref","Neston Marsh","2003-12-29 00:00:00","1","Short-eared Owl","Asio flammeus","Neston Marsh","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|2 Hen Harrier 1 Short-eared Owl 1 Little Egret and mixed flock of Yellowhammer Linnet and Chaffinch -|Neston Marsh","check species & gridref","[Little Egret mixed flock of Yellowhammer Linnet Chaffinch] / [UNKNOWN LOCATION]","2003-12-29 00:00:00","1","Little Egret","Egretta garzetta","Neston Marsh","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovdec03.htm","|1 Green-winged Teal -|Inner Marsh Farm|","ok","","2003-12-28 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
