"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lspot03.htm","1000 Black-tailed Godwits -|Heswall|Riverbank Road|2 Hen Harrier - Parkgate|6 Goldcrest and Thrush movement-|Hilbre|Island","check species & gridref","[Black-tailed Godwits] / [UNKNOWN LOCATION]","2003-10-30 00:00:00","1000","Black-tailed Godwit","Limosa limosa","Heswall","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Riverbank road"
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","check species","Black-tailed Godwits - Thurstaston shore","2003-10-29 00:00:00","1240","Black-tailed Godwit","Limosa limosa","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","1","Rock Pipit","Anthus petrosus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","1","Peregrine","Falco peregrinus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","18","Common Scoter","Melanitta nigra","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","34","Great Crested Grebe","Podiceps cristatus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","1","Razorbill","Alca torda","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","ok","","2003-10-29 00:00:00","1","Red-throated Diver","Gavia stellata","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","1240 Black-tailed Godwits - Thurstaston shore|1 Rock Pipit 1 Peregrine 18 Common Scoter 34 Great crested Grebe 1 Razorbill 1 Red-throated Diver and 1 Black-throated Diver on the tide-|Red Rocks|","check species","Black-throated Diver on the tide","2003-10-29 00:00:00","1","Black-throated Diver","Gavia arctica","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","3 Scaup - West Kirby Marine Lake|1 Hen Harrier and 3 Short-eared Owl - Burton Marsh|1 Bittern- flying towards IMF having been flushed from a ditch","check species & gridref","[Scaup - West Kirby Marine Lake] / [UNKNOWN LOCATION]","2003-10-28 00:00:00","3","Scaup","Aythya marila","1 Bittern- flying towards IMF having been flushed from a ditch","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","3 Scaup - West Kirby Marine Lake|1 Hen Harrier and 3 Short-eared Owl - Burton Marsh|1 Bittern- flying towards IMF having been flushed from a ditch","check gridref","1 Bittern- flying towards IMF having been flushed from a ditch","2003-10-28 00:00:00","1","Hen Harrier","Circus cyaneus","1 Bittern- flying towards IMF having been flushed from a ditch","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","3 Scaup - West Kirby Marine Lake|1 Hen Harrier and 3 Short-eared Owl - Burton Marsh|1 Bittern- flying towards IMF having been flushed from a ditch","check species & gridref","[Short-eared Owl - Burton Marsh] / [UNKNOWN LOCATION]","2003-10-28 00:00:00","3","Short-eared Owl","Asio flammeus","1 Bittern- flying towards IMF having been flushed from a ditch","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","2 Scaup 7 Red-breasted Merganser and 5 Goldeneye -|West Kirby|Marine Lake 1 Red-throated Diver on the tide","check gridref","West Kirby","2003-10-27 00:00:00","2","Scaup","Aythya marila","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","2 Scaup 7 Red-breasted Merganser and 5 Goldeneye -|West Kirby|Marine Lake 1 Red-throated Diver on the tide","check gridref","West Kirby","2003-10-27 00:00:00","7","Red-breasted Merganser","Mergus serrator","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lspot03.htm","2 Scaup 7 Red-breasted Merganser and 5 Goldeneye -|West Kirby|Marine Lake 1 Red-throated Diver on the tide","check gridref","West Kirby","2003-10-27 00:00:00","5","Goldeneye","Bucephala clangula","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
