"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljuau04.htm","2 Leach's Petrel 4 Arctic Skua 1 Great Skua and 1 Sabine's Gull -|Leasowe off the Gunsite| good description of Sabine's received with thanks","check species & gridref","[Leach's Petrel] / [UNKNOWN LOCATION]","2004-08-31 00:00:00","2","Leach’s Petrel","Oceanodroma leucorhoa","Leasowe off the Gunsite","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Good description of sabine's received with thanks"
"http://www.deeestuary.co.uk/ljuau04.htm","2 Leach's Petrel 4 Arctic Skua 1 Great Skua and 1 Sabine's Gull -|Leasowe off the Gunsite| good description of Sabine's received with thanks","check gridref","Leasowe off the Gunsite","2004-08-31 00:00:00","4","Arctic Skua","Stercorarius parasiticus","Leasowe off the Gunsite","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Good description of sabine's received with thanks"
"http://www.deeestuary.co.uk/ljuau04.htm","2 Leach's Petrel 4 Arctic Skua 1 Great Skua and 1 Sabine's Gull -|Leasowe off the Gunsite| good description of Sabine's received with thanks","check gridref","Leasowe off the Gunsite","2004-08-31 00:00:00","1","Great Skua","Stercorarius skua","Leasowe off the Gunsite","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Good description of sabine's received with thanks"
"http://www.deeestuary.co.uk/ljuau04.htm","2 Leach's Petrel 4 Arctic Skua 1 Great Skua and 1 Sabine's Gull -|Leasowe off the Gunsite| good description of Sabine's received with thanks","check species & gridref","[Sabine's Gull] / [UNKNOWN LOCATION]","2004-08-31 00:00:00","1","Sabine’s Gull","Xema sabini","Leasowe off the Gunsite","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Good description of sabine's received with thanks"
"http://www.deeestuary.co.uk/ljuau04.htm","|2 Raven over|Red Rocks| a couple of Swifts over nearby West Kirby","check species","Raven over","2004-08-31 00:00:00","2","Raven","Corvus corax","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. A couple of swifts over nearby west kirby"
"http://www.deeestuary.co.uk/ljuau04.htm","|7 Shag (incl 6 juv","format","7 Shag (incl 6 juv","2004-08-31 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljuau04.htm",") 1 Arctic Skua 5 Kittiwake 200 Sandwich Tern 50 Common Tern and 100 Little Tern (incl many juv","format",") 1 Arctic Skua 5 Kittiwake 200 Sandwich Tern 50 Common Tern and 100 Little Tern (incl many juv","2004-08-31 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljuau04.htm","3 Curlew Sandpiper (juv) 3000 dunlin 500 Ringed Plover 200 Sanderling and 100 Grey Plover most in summer plumage -|Hoylake Shore|","check gridref","Hoylake Shore","2004-08-30 00:00:00","3","Curlew Sandpiper","Calidris ferruginea","Hoylake Shore","UNKNOWN LOCATION","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljuau04.htm","3 Curlew Sandpiper (juv) 3000 dunlin 500 Ringed Plover 200 Sanderling and 100 Grey Plover most in summer plumage -|Hoylake Shore|","check gridref","Hoylake Shore","2004-08-30 00:00:00","3000","Dunlin","Calidris alpina","Hoylake Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljuau04.htm","3 Curlew Sandpiper (juv) 3000 dunlin 500 Ringed Plover 200 Sanderling and 100 Grey Plover most in summer plumage -|Hoylake Shore|","check gridref","Hoylake Shore","2004-08-30 00:00:00","500","Ringed Plover","Charadrius hiaticula","Hoylake Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
