"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmaapr04.htm","2 Whimbrel flying over|West Kirby|","check species & gridref","[Whimbrel flying over] / [UNKNOWN LOCATION]","2004-04-30 00:00:00","2","Whimbrel","Numenius phaeopus","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Lesser Whitethroat 3 Grasshopper Warbler 1 Garden Warbler and 30+ Swift -|Hoylake Langfields|","ok","","2004-04-30 00:00:00","1","Lesser Whitethroat","Sylvia curruca","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Lesser Whitethroat 3 Grasshopper Warbler 1 Garden Warbler and 30+ Swift -|Hoylake Langfields|","ok","","2004-04-30 00:00:00","3","Grasshopper Warbler","Locustella naevia","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Lesser Whitethroat 3 Grasshopper Warbler 1 Garden Warbler and 30+ Swift -|Hoylake Langfields|","ok","","2004-04-30 00:00:00","1","Garden Warbler","Sylvia borin","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Lesser Whitethroat 3 Grasshopper Warbler 1 Garden Warbler and 30+ Swift -|Hoylake Langfields|","ok","","2004-04-30 00:00:00","30+","Swift","Apus apus","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Whimbrel and 86 Sandwich Tern -|Point of Ayr|","check gridref","Point of Ayr","2004-04-30 00:00:00","1","Whimbrel","Numenius phaeopus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Whimbrel and 86 Sandwich Tern -|Point of Ayr|","check gridref","Point of Ayr","2004-04-30 00:00:00","86","Sandwich Tern","Thalasseus sandvicensis","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","ok","","2004-04-29 00:00:00","10","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","ok","","2004-04-29 00:00:00","1","Little Ringed Plover","Charadrius dubius","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","check species","Black-tailed Godwits","2004-04-29 00:00:00","375","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","check species","Blue-headed Wagtail","2004-04-29 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","ok","","2004-04-29 00:00:00","2","Mediterranean Gull","Ichthyaetus melanocephalus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","check species","nd","2004-04-29 00:00:00","2","Tundra Bean Goose","Anser serrirostris","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","check species","st summer","2004-04-29 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","10 Spotted Redshank 1 Little Ringed Plover 375 Black-tailed Godwits 1 Blue-headed Wagtail 2 Mediterranean Gull (2nd and 1st summer) and 1 Arctic Tern -|Inner Marsh Farm|","ok","","2004-04-29 00:00:00","1","Arctic Tern","Sterna paradisaea","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|1 Grasshopper Warbler -|Burton Marsh|","check gridref","Burton Marsh","2004-04-29 00:00:00","1","Grasshopper Warbler","Locustella naevia","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaapr04.htm","|700 Black-tailed Godwit and 10 Wheatear -|Connah's Quay Reserve|","check gridref","Connah's Quay Reserve","2004-04-29 00:00:00","700","Black-tailed Godwit","Limosa limosa","Connah's Quay Reserve","SJ278713","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
