"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmaju04.htm","7 Gannet and 1 Peregrine -|Gronant| Little Terns a bit battered by the bad weather but not doing too badly see update in next newsletter","ok","","2004-06-30 00:00:00","7","Gannet","Morus bassanus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns a bit battered by the bad weather but not doing too badly see update in next newsletter"
"http://www.deeestuary.co.uk/lmaju04.htm","7 Gannet and 1 Peregrine -|Gronant| Little Terns a bit battered by the bad weather but not doing too badly see update in next newsletter","ok","","2004-06-30 00:00:00","1","Peregrine","Falco peregrinus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Little terns a bit battered by the bad weather but not doing too badly see update in next newsletter"
"http://www.deeestuary.co.uk/lmaju04.htm","|1 Common Sandpiper - Ashton Park|West Kirby|","check species & gridref","[Common Sandpiper - Ashton Park] / [UNKNOWN LOCATION]","2004-06-30 00:00:00","1","Common Sandpiper","Actitis hypoleucos","West Kirby","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","|1 Mediterranean Gull -|Inner Marsh Farm|","ok","","2004-06-30 00:00:00","1","Mediterranean Gull","Ichthyaetus melanocephalus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","6 Gannet -|Red Rocks|at high tide this morning and another 2 Gannet 2 Manx Shearwater and 1 Great Crested Grebe this evening","ok","","2004-06-29 00:00:00","6","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","6 Gannet -|Red Rocks|at high tide this morning and another 2 Gannet 2 Manx Shearwater and 1 Great Crested Grebe this evening","ok","","2004-06-29 00:00:00","2","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","6 Gannet -|Red Rocks|at high tide this morning and another 2 Gannet 2 Manx Shearwater and 1 Great Crested Grebe this evening","ok","","2004-06-29 00:00:00","2","Manx Shearwater","Puffinus puffinus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","6 Gannet -|Red Rocks|at high tide this morning and another 2 Gannet 2 Manx Shearwater and 1 Great Crested Grebe this evening","check species","Great Crested Grebe this evening","2004-06-29 00:00:00","1","Great Crested Grebe","Podiceps cristatus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","|Plenty of waders back at|Heswall|including 1280 Curlew and several hundred Redshank","check species & gridref","[Curlew several hundred Redshank] / [UNKNOWN LOCATION]","2004-06-29 00:00:00","1280","Curlew","Numenius arquata","Heswall","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaju04.htm","|1 Icterine Warbler reported in|Wepre Woods| singing by Rosie Pond this afternoon","check species & gridref","[Icterine Warbler reported in] / [UNKNOWN LOCATION]","2004-06-29 00:00:00","1","Icterine Warbler","Hippolais icterina","Wepre Woods","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Singing by rosie pond this afternoon"
"http://www.deeestuary.co.uk/lmaju04.htm","21 Gannet 14 Manx Shearwater and over 100 Common Tern seen off|Red Rocks|at high tide","ok","","2004-06-28 00:00:00","21","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lmaju04.htm","21 Gannet 14 Manx Shearwater and over 100 Common Tern seen off|Red Rocks|at high tide","check species","Manx Shearwater over","2004-06-28 00:00:00","14","Manx Shearwater","Puffinus puffinus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lmaju04.htm","21 Gannet 14 Manx Shearwater and over 100 Common Tern seen off|Red Rocks|at high tide","check species","Common Tern seen off","2004-06-28 00:00:00","100","Common Tern","Sterna hirundo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lmaju04.htm","54 Gannet 8 Common Scoter and about 40 Common Tern and 25 Sandwich Tern seen off|Red Rocks|at high tide","ok","","2004-06-27 00:00:00","54","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lmaju04.htm","54 Gannet 8 Common Scoter and about 40 Common Tern and 25 Sandwich Tern seen off|Red Rocks|at high tide","check species","Common Scoter about","2004-06-27 00:00:00","8","Common Scoter","Melanitta nigra","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lmaju04.htm","54 Gannet 8 Common Scoter and about 40 Common Tern and 25 Sandwich Tern seen off|Red Rocks|at high tide","ok","","2004-06-27 00:00:00","40","Common Tern","Sterna hirundo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
