"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lnovde04.htm","60 Brent Goose (pale-bellied) yet another record number also 3 Purple Sandpiper -|Hilbre Island|","check species & gridref","[Brent Goose pale-bellied yet another record number also] / [UNKNOWN LOCATION]","2004-12-31 00:00:00","60","Brent Goose","Branta bernicla","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","60 Brent Goose (pale-bellied) yet another record number also 3 Purple Sandpiper -|Hilbre Island|","check gridref","Hilbre Island","2004-12-31 00:00:00","3","Purple Sandpiper","Calidris maritima","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","|2 Stonechat (pair) -|Inner Marsh Farm|","ok","","2004-12-31 00:00:00","2","Stonechat","Saxicola rubicola","Inner Marsh Farm","SJ307741","Pair","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","|80+ Bewick's Swan and 10 Whooper Swan -|Flint Marsh|","ok","","2004-12-31 00:00:00","80+","Bewick's Swan","Cygnus columbianus","Flint Marsh","SJ242739","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","|80+ Bewick's Swan and 10 Whooper Swan -|Flint Marsh|","ok","","2004-12-31 00:00:00","10","Whooper Swan","Cygnus cygnus","Flint Marsh","SJ242739","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","|3 Hen Harrier (1m) -|Parkgate Old Baths|coming in to roost","check gridref","Parkgate Old Baths","2004-12-31 00:00:00","3","Hen Harrier","Circus cyaneus","Parkgate Old Baths","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Coming in to roost"
"http://www.deeestuary.co.uk/lnovde04.htm","|3 Hen Harrier (1m) -|Parkgate Old Baths|coming in to roost","check species & gridref","[] / [UNKNOWN LOCATION]","2004-12-31 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Parkgate Old Baths","UNKNOWN LOCATION","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Coming in to roost"
"http://www.deeestuary.co.uk/lnovde04.htm","210 Pintail and 175 Bar-tailed Godwit plus estimated 20000 Oystercatcher and 10000 Knot -|Thurstaston Shore|","ok","","2004-12-30 00:00:00","210","Pintail","Anas acuta","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","210 Pintail and 175 Bar-tailed Godwit plus estimated 20000 Oystercatcher and 10000 Knot -|Thurstaston Shore|","check species","Bar-tailed Godwit plus estimated","2004-12-30 00:00:00","175","Bar-tailed Godwit","Limosa lapponica","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lnovde04.htm","210 Pintail and 175 Bar-tailed Godwit plus estimated 20000 Oystercatcher and 10000 Knot -|Thurstaston Shore|","ok","","2004-12-30 00:00:00","20000","Oystercatcher","Haematopus ostralegus","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
