"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check gridref","Point of Ayr","2004-10-31 00:00:00","1","Merlin","Falco columbarius","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check gridref","Point of Ayr","2004-10-31 00:00:00","1","Peregrine","Falco peregrinus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check species & gridref","[Common Buzzard] / [UNKNOWN LOCATION]","2004-10-31 00:00:00","2","Buzzard","Buteo buteo","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check gridref","Point of Ayr","2004-10-31 00:00:00","1","Spotted Redshank","Tringa erythropus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check gridref","Point of Ayr","2004-10-31 00:00:00","1","Water Rail","Rallus aquaticus","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","1 Merlin 1 Peregrine 2 Common Buzzard 1 Spotted Redshank 1 Water Rail and 1 Kingfisher waders similar to yesterday -|Point of Ayr|at high tide","check species & gridref","[Kingfisher waders similar to yesterday] / [UNKNOWN LOCATION]","2004-10-31 00:00:00","1","Kingfisher","Alcedo atthis","Point of Ayr","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/lseoc04.htm","|1 Short-eared Owl -|Gronant|","ok","","2004-10-31 00:00:00","1","Short-eared Owl","Asio flammeus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lseoc04.htm","|4 Ruff 1 Green-winged Teal 2 Greenshank and 2 pairs Stonechat -|Inner Marsh Farm|","ok","","2004-10-31 00:00:00","4","Ruff","Calidris pugnax","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lseoc04.htm","|4 Ruff 1 Green-winged Teal 2 Greenshank and 2 pairs Stonechat -|Inner Marsh Farm|","ok","","2004-10-31 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lseoc04.htm","|4 Ruff 1 Green-winged Teal 2 Greenshank and 2 pairs Stonechat -|Inner Marsh Farm|","ok","","2004-10-31 00:00:00","2","Greenshank","Tringa nebularia","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
