"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/ljafe05.htm","1 Long-tailed Duck (drake) -|West Kirby Marine Lake| just by car park at north end at 11am","ok","","2005-02-28 00:00:00","1","Long-tailed Duck","Clangula hyemalis","West Kirby Marine Lake","SJ211862","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","1 Long-tailed Duck (drake) -|West Kirby Marine Lake| just by car park at north end at 11am","check species","am","2005-02-28 00:00:00","11","Western Swamphen","Porphyrio porphyrio","West Kirby Marine Lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|2 Cetti's Warbler -|Neston Reed Bed| southern end please keep to the footpath on the inland side (birds have been present for 10 days but news has only just been released) - they are somewhat elusive|10000 Dunlin 10000 Knot 700 Grey Plover 200 Redshank and 50 Sanderling -|West Kirby Shore|at high tide as counted by the|Dee Estuary Voluntary Wardens|","check species & gridref","[Cetti's Warbler] / [UNKNOWN LOCATION]","2005-02-28 00:00:00","2","Cetti’s Warbler","Cettia cetti","Neston Reed Bed","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|2 Cetti's Warbler -|Neston Reed Bed| southern end please keep to the footpath on the inland side (birds have been present for 10 days but news has only just been released) - they are somewhat elusive|10000 Dunlin 10000 Knot 700 Grey Plover 200 Redshank and 50 Sanderling -|West Kirby Shore|at high tide as counted by the|Dee Estuary Voluntary Wardens|","check species & gridref","[days but news has only just been released - they are somewhat elusive] / [UNKNOWN LOCATION]","2005-02-28 00:00:00","10","UNKNOWN SPECIES","UNKNOWN SPECIES","Neston Reed Bed","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|42 Brent Geese (pale-bellied) -|Little Eye|at high tide","check species & gridref","[Brent Geese pale-bellied] / [UNKNOWN LOCATION]","2005-02-28 00:00:00","42","Brent Goose","Branta bernicla","Little Eye","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/ljafe05.htm","|1 Smew (drake) 98 Golden Plover 12 Bewick's Swan 4 Gadwall and 154 Pink-footed Geese -|Inner Marsh Farm|","ok","","2005-02-28 00:00:00","1","Smew","Mergellus albellus","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|1 Smew (drake) 98 Golden Plover 12 Bewick's Swan 4 Gadwall and 154 Pink-footed Geese -|Inner Marsh Farm|","ok","","2005-02-28 00:00:00","98","Golden Plover","Pluvialis apricaria","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|1 Smew (drake) 98 Golden Plover 12 Bewick's Swan 4 Gadwall and 154 Pink-footed Geese -|Inner Marsh Farm|","ok","","2005-02-28 00:00:00","12","Bewick's Swan","Cygnus columbianus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|1 Smew (drake) 98 Golden Plover 12 Bewick's Swan 4 Gadwall and 154 Pink-footed Geese -|Inner Marsh Farm|","ok","","2005-02-28 00:00:00","4","Gadwall","Mareca strepera","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|1 Smew (drake) 98 Golden Plover 12 Bewick's Swan 4 Gadwall and 154 Pink-footed Geese -|Inner Marsh Farm|","check species","Pink-footed Geese","2005-02-28 00:00:00","154","Pink-footed Goose","Anser brachyrhynchus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","1 Long-tailed Duck (drake) -|West Kirby Marine Lake| just by car park at north end at 1030am","ok","","2005-02-27 00:00:00","1","Long-tailed Duck","Clangula hyemalis","West Kirby Marine Lake","SJ211862","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","1 Long-tailed Duck (drake) -|West Kirby Marine Lake| just by car park at north end at 1030am","check species","am","2005-02-27 00:00:00","1030","Western Swamphen","Porphyrio porphyrio","West Kirby Marine Lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/ljafe05.htm","|2 Peregrine 10000 Dunlin and 15000 Knot -|West Kirby Shore|at high tide as counted by the|Dee Estuary Voluntary Wardens|","ok","","2005-02-27 00:00:00","2","Peregrine","Falco peregrinus","West Kirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide as counted by the"
"http://www.deeestuary.co.uk/ljafe05.htm","|2 Peregrine 10000 Dunlin and 15000 Knot -|West Kirby Shore|at high tide as counted by the|Dee Estuary Voluntary Wardens|","ok","","2005-02-27 00:00:00","10000","Dunlin","Calidris alpina","West Kirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide as counted by the"
"http://www.deeestuary.co.uk/ljafe05.htm","|2 Peregrine 10000 Dunlin and 15000 Knot -|West Kirby Shore|at high tide as counted by the|Dee Estuary Voluntary Wardens|","ok","","2005-02-27 00:00:00","15000","Knot","Calidris canutus","West Kirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide as counted by the"
