"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmaap05.htm","5 Gannet and 8 Common Tern just off|Red Rocks|as the tide came in also 1 Wheatear","ok","","2005-04-30 00:00:00","5","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaap05.htm","5 Gannet and 8 Common Tern just off|Red Rocks|as the tide came in also 1 Wheatear","check species","Common Tern just off","2005-04-30 00:00:00","8","Common Tern","Sterna hirundo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaap05.htm","5 Gannet and 8 Common Tern just off|Red Rocks|as the tide came in also 1 Wheatear","ok","","2005-04-30 00:00:00","1","Wheatear","Oenanthe oenanthe","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaap05.htm","|1 Grasshopper Warbler -|Denhall Quay","ok","","2005-04-30 00:00:00","1","Grasshopper Warbler","Locustella naevia","Denhall Quay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaap05.htm","|1 Grasshopper Warbler by|Leasowe Lighthouse|","check species","Grasshopper Warbler by","2005-04-30 00:00:00","1","Grasshopper Warbler","Locustella naevia","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmaap05.htm","12 Whimbrel 10 Wheatear 2 Arctic Tern and 12 Common Tern a few warblers passing through -|Hilbre Island| provided by|Hilbre Bird Observatory","check gridref","Hilbre Island","2005-04-29 00:00:00","12","Whimbrel","Numenius phaeopus","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Provided by"
"http://www.deeestuary.co.uk/lmaap05.htm","12 Whimbrel 10 Wheatear 2 Arctic Tern and 12 Common Tern a few warblers passing through -|Hilbre Island| provided by|Hilbre Bird Observatory","check gridref","Hilbre Island","2005-04-29 00:00:00","10","Wheatear","Oenanthe oenanthe","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Provided by"
"http://www.deeestuary.co.uk/lmaap05.htm","12 Whimbrel 10 Wheatear 2 Arctic Tern and 12 Common Tern a few warblers passing through -|Hilbre Island| provided by|Hilbre Bird Observatory","check gridref","Hilbre Island","2005-04-29 00:00:00","2","Arctic Tern","Sterna paradisaea","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Provided by"
"http://www.deeestuary.co.uk/lmaap05.htm","12 Whimbrel 10 Wheatear 2 Arctic Tern and 12 Common Tern a few warblers passing through -|Hilbre Island| provided by|Hilbre Bird Observatory","check species & gridref","[Common Tern a few warblers passing through] / [UNKNOWN LOCATION]","2005-04-29 00:00:00","12","Common Tern","Sterna hirundo","Hilbre Island","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Provided by"
"http://www.deeestuary.co.uk/lmaap05.htm","|1 Lesser Whitethroat -|Hoylake Langfields","ok","","2005-04-29 00:00:00","1","Lesser Whitethroat","Sylvia curruca","Hoylake Langfields","SJ222878","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
