"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/lmj05.htm","3 Yellowhammer (1 juv","format","3 Yellowhammer (1 juv","2005-06-30 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm",") and 2 Green Woodpecker -|Thurstaston by Wirral Way|","check gridref","Thurstaston by Wirral Way","2005-06-30 00:00:00","2","Green Woodpecker","Picus viridis","Thurstaston by Wirral Way","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|7 Whitethroat 3 Reed Warbler and 2 Sedge Warbler -|Leasowe Lighthouse|","ok","","2005-06-30 00:00:00","7","Whitethroat","Sylvia communis","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|7 Whitethroat 3 Reed Warbler and 2 Sedge Warbler -|Leasowe Lighthouse|","ok","","2005-06-30 00:00:00","3","Reed Warbler","Acrocephalus scirpaceus","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|7 Whitethroat 3 Reed Warbler and 2 Sedge Warbler -|Leasowe Lighthouse|","ok","","2005-06-30 00:00:00","2","Sedge Warbler","Acrocephalus schoenobaenus","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","3 Spotted Redshank 900+ Knot and 125 Black-tailed Godwit -|Inner Marsh Farm","ok","","2005-06-29 00:00:00","3","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","3 Spotted Redshank 900+ Knot and 125 Black-tailed Godwit -|Inner Marsh Farm","ok","","2005-06-29 00:00:00","900+","Knot","Calidris canutus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","3 Spotted Redshank 900+ Knot and 125 Black-tailed Godwit -|Inner Marsh Farm","ok","","2005-06-29 00:00:00","125","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|1 Barn Owl in field next to|Royden Park|","check species","Barn Owl in field next to","2005-06-29 00:00:00","1","Barn Owl","Tyto alba","Royden Park","SJ 245 857","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","25 Sandwich Tern 4 Gannet and 9 Common Scoter -|Gronant","ok","","2005-06-28 00:00:00","25","Sandwich Tern","Thalasseus sandvicensis","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","25 Sandwich Tern 4 Gannet and 9 Common Scoter -|Gronant","ok","","2005-06-28 00:00:00","4","Gannet","Morus bassanus","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","25 Sandwich Tern 4 Gannet and 9 Common Scoter -|Gronant","ok","","2005-06-28 00:00:00","9","Common Scoter","Melanitta nigra","Gronant","SJ083841","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","1|Green-winged Teal (drake) reported also 5 Spotted Redshank and 400 Black-tailed Godwit -|Inner Marsh Farm","check species","","2005-06-27 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","1|Green-winged Teal (drake) reported also 5 Spotted Redshank and 400 Black-tailed Godwit -|Inner Marsh Farm","ok","","2005-06-27 00:00:00","5","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","1|Green-winged Teal (drake) reported also 5 Spotted Redshank and 400 Black-tailed Godwit -|Inner Marsh Farm","ok","","2005-06-27 00:00:00","400","Black-tailed Godwit","Limosa limosa","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","3 Common Sandpiper on bank of River Dee by|Shotton| about 540 pairs of Common Terns breeding at the Steelworks","check species","Common Sandpiper on bank of River Dee by","2005-06-26 00:00:00","3","Common Sandpiper","Actitis hypoleucos","Shotton","SJ3169","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","3 Common Sandpiper on bank of River Dee by|Shotton| about 540 pairs of Common Terns breeding at the Steelworks","check species","pairs of Common Terns breeding at the Steelworks","2005-06-26 00:00:00","540","Common Tern","Sterna hirundo","Shotton","SJ3169","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|2 Grasshopper Warbler heard reeling -|Parkgate Old Baths|","check species & gridref","[Grasshopper Warbler heard reeling] / [UNKNOWN LOCATION]","2005-06-26 00:00:00","2","Grasshopper Warbler","Locustella naevia","Parkgate Old Baths","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|4 Common Buzzard riding the thermals at|Red Rocks| 2 Stonechat in the sand dunes","check species","Common Buzzard riding the thermals at","2005-06-26 00:00:00","4","Buzzard","Buteo buteo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/lmj05.htm","|4 Common Buzzard riding the thermals at|Red Rocks| 2 Stonechat in the sand dunes","check species","Stonechat in the sand dunes","2005-06-26 00:00:00","2","Stonechat","Saxicola rubicola","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
