"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l050608.htm","38 Gannet and 100+ Sandwich/Common Tern -|Red Rocks|at high tide","ok","","2008-06-30 00:00:00","38","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l050608.htm","38 Gannet and 100+ Sandwich/Common Tern -|Red Rocks|at high tide","check species","Sandwich/Common Tern","2008-06-30 00:00:00","100+","Common Tern","Sterna hirundo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) 1 Little Ringed Plover 1 Grasshopper Warbler and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-30 00:00:00","1","Spoonbill","Platalea leucorodia","Inner Marsh Farm","SJ307741","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) 1 Little Ringed Plover 1 Grasshopper Warbler and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-30 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) 1 Little Ringed Plover 1 Grasshopper Warbler and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-30 00:00:00","1","Little Ringed Plover","Charadrius dubius","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) 1 Little Ringed Plover 1 Grasshopper Warbler and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-30 00:00:00","1","Grasshopper Warbler","Locustella naevia","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) 1 Little Ringed Plover 1 Grasshopper Warbler and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-30 00:00:00","3","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Barn Owl and 1 Grasshopper Warbler -|Burton Marsh","check gridref","Burton Marsh","2008-06-30 00:00:00","1","Barn Owl","Tyto alba","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Barn Owl and 1 Grasshopper Warbler -|Burton Marsh","check gridref","Burton Marsh","2008-06-30 00:00:00","1","Grasshopper Warbler","Locustella naevia","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Greenshank 2 Peregrine and 5 Little Egret -|Heswall Shore","ok","","2008-06-30 00:00:00","1","Greenshank","Tringa nebularia","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Greenshank 2 Peregrine and 5 Little Egret -|Heswall Shore","ok","","2008-06-30 00:00:00","2","Peregrine","Falco peregrinus","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Greenshank 2 Peregrine and 5 Little Egret -|Heswall Shore","ok","","2008-06-30 00:00:00","5","Little Egret","Egretta garzetta","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","165 Gannet and 150+ Sandwich/Common Tern with 4 Sandwich Tern on the beach -|Red Rocks|at high tide","ok","","2008-06-29 00:00:00","165","Gannet","Morus bassanus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l050608.htm","165 Gannet and 150+ Sandwich/Common Tern with 4 Sandwich Tern on the beach -|Red Rocks|at high tide","check species","Sandwich/Common Tern with","2008-06-29 00:00:00","150+","Common Tern","Sterna hirundo","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l050608.htm","165 Gannet and 150+ Sandwich/Common Tern with 4 Sandwich Tern on the beach -|Red Rocks|at high tide","check species","Sandwich Tern on the beach","2008-06-29 00:00:00","4","Sandwich Tern","Thalasseus sandvicensis","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-29 00:00:00","1","Spoonbill","Platalea leucorodia","Inner Marsh Farm","SJ307741","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-29 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Spoonbill (imm) 1 Green-winged Teal (drake) and 3 Spotted Redshank -|Inner Marsh Farm","ok","","2008-06-29 00:00:00","3","Spotted Redshank","Tringa erythropus","Inner Marsh Farm","SJ307741","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Grasshopper Warbler (reeling) and 100 Redshank -|Parkgate Marsh","check species","Grasshopper Warbler reeling","2008-06-29 00:00:00","1","Grasshopper Warbler","Locustella naevia","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Grasshopper Warbler (reeling) and 100 Redshank -|Parkgate Marsh","ok","","2008-06-29 00:00:00","100","Redshank","Tringa totanus","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Grasshopper Warbler reeling -|Leasowe Gunsite","check species","Grasshopper Warbler reeling","2008-06-28 00:00:00","1","Grasshopper Warbler","Locustella naevia","Leasowe Gunsite","SJ277925","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l050608.htm","1 Green-winged Teal (drake) 4 Spotted Redshank and 2 Grasshopper Warbler -|Inner Marsh Farm","ok","","2008-06-28 00:00:00","1","Green-winged Teal","Anas carolinensis","Inner Marsh Farm","SJ307741","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
