"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l010209.htm","442 Sanderling -|Hoylake Shore","check gridref","Hoylake Shore","2009-02-28 00:00:00","442","Sanderling","Calidris alba","Hoylake Shore","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","316 Black-tailed Godwit opposite|Gilroy Nature Park West Kirby","check species & gridref","[Black-tailed Godwit opposite] / [Gilroy Nature Park, West Kirby]","2009-02-28 00:00:00","316","Black-tailed Godwit","Limosa limosa","Gilroy Nature Park West Kirby","SJ224876","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","1 Green Sandpiper by|River Dee Queensferry","check species & gridref","[Green Sandpiper by] / [UNKNOWN LOCATION]","2009-02-28 00:00:00","1","Green Sandpiper","Tringa ochropus","River Dee Queensferry","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","140 Brent Geese (incl 2 dark-bellied) highlights from|Hilbre| for further details see|http://www","check species","Brent Geese incl","2009-02-28 00:00:00","140","Brent Goose","Branta bernicla","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. For further details see"
"http://www.deeestuary.co.uk/l010209.htm","140 Brent Geese (incl 2 dark-bellied) highlights from|Hilbre| for further details see|http://www","check species","dark-bellied highlights from","2009-02-28 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. For further details see"
"http://www.deeestuary.co.uk/l010209.htm","hilbrebirdobs","format","hilbrebirdobs","2009-02-28 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","blogspot","format","blogspot","2009-02-28 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","com/","format","com/","2009-02-28 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l010209.htm","5 Short-eared Owl showing well also 1 Merlin and 1 Peregrine off|Heswall Golf Course|late afternoon","check species","Short-eared Owl showing well also","2009-02-28 00:00:00","5","Short-eared Owl","Asio flammeus","Heswall Golf Course","SJ272799","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Late afternoon"
"http://www.deeestuary.co.uk/l010209.htm","5 Short-eared Owl showing well also 1 Merlin and 1 Peregrine off|Heswall Golf Course|late afternoon","ok","","2009-02-28 00:00:00","1","Merlin","Falco columbarius","Heswall Golf Course","SJ272799","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Late afternoon"
