"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check gridref","Burton Marsh","2009-12-31 00:00:00","2","Hen Harrier","Circus cyaneus","Burton Marsh","SJ280750","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check gridref","Burton Marsh","2009-12-31 00:00:00","4","Short-eared Owl","Asio flammeus","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check gridref","Burton Marsh","2009-12-31 00:00:00","1","Merlin","Falco columbarius","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check gridref","Burton Marsh","2009-12-31 00:00:00","5","Stonechat","Saxicola rubicola","Burton Marsh","SJ280750","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check species & gridref","[] / [Burton Marsh,]","2009-12-31 00:00:00","3","UNKNOWN SPECIES","UNKNOWN SPECIES","Burton Marsh","SJ280750","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (ringtail) 4 Short-eared Owl 1 Merlin and 5 Stonechat|(3 male 2 female) -|Burton Marsh","check species & gridref","[] / [Burton Marsh,]","2009-12-31 00:00:00","2","UNKNOWN SPECIES","UNKNOWN SPECIES","Burton Marsh","SJ280750","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (1 'Grey' male and 1 ringtail) -|Parkgate Marsh|this evening and yesterday","ok","","2009-12-30 00:00:00","2","Hen Harrier","Circus cyaneus","Parkgate Marsh","SJ271790","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening and yesterday"
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (1 'Grey' male and 1 ringtail) -|Parkgate Marsh|this evening and yesterday","check species","'Grey'","2009-12-30 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Parkgate Marsh","SJ271790","Male","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening and yesterday"
"http://www.deeestuary.co.uk/l111209.htm","2 Hen Harrier (1 'Grey' male and 1 ringtail) -|Parkgate Marsh|this evening and yesterday","check species","","2009-12-30 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","Parkgate Marsh","SJ271790","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening and yesterday"
"http://www.deeestuary.co.uk/l111209.htm","17 Goldeneye 12 Red-breasted Merganser and 1 juv Shag -|West Kirby Marine Lake","ok","","2009-12-30 00:00:00","17","Goldeneye","Bucephala clangula","West Kirby Marine Lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","17 Goldeneye 12 Red-breasted Merganser and 1 juv Shag -|West Kirby Marine Lake","ok","","2009-12-30 00:00:00","12","Red-breasted Merganser","Mergus serrator","West Kirby Marine Lake","SJ211862","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","17 Goldeneye 12 Red-breasted Merganser and 1 juv Shag -|West Kirby Marine Lake","ok","","2009-12-30 00:00:00","1","Shag","Phalacrocorax aristotelis","West Kirby Marine Lake","SJ211862","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","1 Stonechat -|Red Rocks marsh","check gridref","Red Rocks marsh","2009-12-30 00:00:00","1","Stonechat","Saxicola rubicola","Red Rocks marsh","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","3 Bullfinch -|Lingham Lane Moreton","check gridref","Lingham Lane Moreton","2009-12-30 00:00:00","3","Bullfinch","Pyrrhula pyrrhula","Lingham Lane Moreton","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Peregrine hunting through a flock of 6000 Knot at high tide -|West Kirby Shore","check species","Peregrine hunting through a flock of","2009-12-30 00:00:00","2","Peregrine","Falco peregrinus","West Kirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","2 Peregrine hunting through a flock of 6000 Knot at high tide -|West Kirby Shore","check species","Knot at high tide","2009-12-30 00:00:00","6000","Knot","Calidris canutus","West Kirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111209.htm","3 Red-throated Diver and 8 Common Scoter on the sea also 2 Peregrine 13 Purple Sandpiper 420 Curlew and 50 Grey Plover -|Hilbre| for more details see|http://www","ok","","2009-12-30 00:00:00","3","Red-throated Diver","Gavia stellata","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. For more details see"
"http://www.deeestuary.co.uk/l111209.htm","3 Red-throated Diver and 8 Common Scoter on the sea also 2 Peregrine 13 Purple Sandpiper 420 Curlew and 50 Grey Plover -|Hilbre| for more details see|http://www","check species","Common Scoter on the sea also","2009-12-30 00:00:00","8","Common Scoter","Melanitta nigra","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. For more details see"
