"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l111210.htm","570 Pink-footed Geese including two flocks which flew in from the north -|Parkgate","check species","Pink-footed Geese including two flocks which flew in from the north","2010-12-31 00:00:00","570","Pink-footed Goose","Anser brachyrhynchus","Parkgate","SJ 273 789","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1830 Black-tailed Godwit 760 Bar-tailed Godwit (north of causeway) 13800 Oystercatcher 687 Pintail and c15000 Knot -|Thurstaston Shore","ok","","2010-12-31 00:00:00","1830","Black-tailed Godwit","Limosa limosa","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1830 Black-tailed Godwit 760 Bar-tailed Godwit (north of causeway) 13800 Oystercatcher 687 Pintail and c15000 Knot -|Thurstaston Shore","check species","Bar-tailed Godwit north of causeway","2010-12-31 00:00:00","760","Bar-tailed Godwit","Limosa lapponica","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1830 Black-tailed Godwit 760 Bar-tailed Godwit (north of causeway) 13800 Oystercatcher 687 Pintail and c15000 Knot -|Thurstaston Shore","ok","","2010-12-31 00:00:00","13800","Oystercatcher","Haematopus ostralegus","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1830 Black-tailed Godwit 760 Bar-tailed Godwit (north of causeway) 13800 Oystercatcher 687 Pintail and c15000 Knot -|Thurstaston Shore","ok","","2010-12-31 00:00:00","687","Pintail","Anas acuta","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1830 Black-tailed Godwit 760 Bar-tailed Godwit (north of causeway) 13800 Oystercatcher 687 Pintail and c15000 Knot -|Thurstaston Shore","ok","","2010-12-31 00:00:00","c15000","Knot","Calidris canutus","Thurstaston Shore","SJ240829","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","54 Golden Plover 475 Lapwing 220 Pink-footed Geese 1 Peregrine 1 Hen Harrier (ringtail) -|Heswall Shore","ok","","2010-12-31 00:00:00","54","Golden Plover","Pluvialis apricaria","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","54 Golden Plover 475 Lapwing 220 Pink-footed Geese 1 Peregrine 1 Hen Harrier (ringtail) -|Heswall Shore","ok","","2010-12-31 00:00:00","475","Lapwing","Vanellus vanellus","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","54 Golden Plover 475 Lapwing 220 Pink-footed Geese 1 Peregrine 1 Hen Harrier (ringtail) -|Heswall Shore","check species","Pink-footed Geese","2010-12-31 00:00:00","220","Pink-footed Goose","Anser brachyrhynchus","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","54 Golden Plover 475 Lapwing 220 Pink-footed Geese 1 Peregrine 1 Hen Harrier (ringtail) -|Heswall Shore","ok","","2010-12-31 00:00:00","1","Peregrine","Falco peregrinus","Heswall Shore","SJ259808","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","54 Golden Plover 475 Lapwing 220 Pink-footed Geese 1 Peregrine 1 Hen Harrier (ringtail) -|Heswall Shore","ok","","2010-12-31 00:00:00","1","Hen Harrier","Circus cyaneus","Heswall Shore","SJ259808","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1 Mediterranean Gull (1 ad winter on grass by Marine Drive) -|New Brighton","check gridref","New Brighton","2010-12-30 00:00:00","1","Mediterranean Gull","Ichthyaetus melanocephalus","New Brighton","UNKNOWN LOCATION","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","1 Mediterranean Gull (1 ad winter on grass by Marine Drive) -|New Brighton","check species & gridref","[winter on grass by Marine Drive] / [UNKNOWN LOCATION]","2010-12-30 00:00:00","1","UNKNOWN SPECIES","UNKNOWN SPECIES","New Brighton","UNKNOWN LOCATION","Adult","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l111210.htm","3 Waxwing by Aldi supermarket -|Neston","check species","Waxwing by Aldi supermarket","2010-12-30 00:00:00","3","Waxwing","Bombycilla garrulus","Neston","SJ2877","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
