"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l091011.htm","1 Great White Egret and 1 Hen Harrier (ringtail) 50Pink-footed Geese on the marsh and also 45 Black-tailed Godwitdisturbed by harrier -|DonkeyStand Flash Parkgate","check gridref","DonkeyStand Flash Parkgate","2011-10-31 00:00:00","1","Great White Egret","Ardea alba","DonkeyStand Flash Parkgate","SJ270770","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","1 Great White Egret and 1 Hen Harrier (ringtail) 50Pink-footed Geese on the marsh and also 45 Black-tailed Godwitdisturbed by harrier -|DonkeyStand Flash Parkgate","check gridref","DonkeyStand Flash Parkgate","2011-10-31 00:00:00","1","Hen Harrier","Circus cyaneus","DonkeyStand Flash Parkgate","SJ270770","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","1 Great White Egret and 1 Hen Harrier (ringtail) 50Pink-footed Geese on the marsh and also 45 Black-tailed Godwitdisturbed by harrier -|DonkeyStand Flash Parkgate","check species & gridref","[Pink-footed Geese on the marsh also] / [Donkey Stand Flash, Parkgate]","2011-10-31 00:00:00","50","Pink-footed Goose","Anser brachyrhynchus","DonkeyStand Flash Parkgate","SJ270770","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","1 Great White Egret and 1 Hen Harrier (ringtail) 50Pink-footed Geese on the marsh and also 45 Black-tailed Godwitdisturbed by harrier -|DonkeyStand Flash Parkgate","check species & gridref","[Black-tailed Godwitdisturbed by harrier] / [Donkey Stand Flash, Parkgate]","2011-10-31 00:00:00","45","Black-tailed Godwit","Limosa limosa","DonkeyStand Flash Parkgate","SJ270770","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","2500 Pintail and 4000 Teal -|BurtonMere Wetlands","check gridref","BurtonMere Wetlands","2011-10-31 00:00:00","2500","Pintail","Anas acuta","BurtonMere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","2500 Pintail and 4000 Teal -|BurtonMere Wetlands","check gridref","BurtonMere Wetlands","2011-10-31 00:00:00","4000","Teal","Anas crecca","BurtonMere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","102 Brent Geese -|WestKirby Shore|at high tide","check species & gridref","[Brent Geese] / [West Kirby Shore]","2011-10-31 00:00:00","102","Brent Goose","Branta bernicla","WestKirby Shore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. At high tide"
"http://www.deeestuary.co.uk/l091011.htm","2 Water Rail in duck pond 1 Peregrine chasing waders on the shore and1 Kingfisher down the River Birket -|LeasoweLighthouse","check species & gridref","[Water Rail in duck pond] / [Leasowe Lighthouse]","2011-10-30 00:00:00","2","Water Rail","Rallus aquaticus","LeasoweLighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","2 Water Rail in duck pond 1 Peregrine chasing waders on the shore and1 Kingfisher down the River Birket -|LeasoweLighthouse","check species & gridref","[Peregrine chasing waders on the shore and] / [Leasowe Lighthouse]","2011-10-30 00:00:00","1","Peregrine","Falco peregrinus","LeasoweLighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","2 Water Rail in duck pond 1 Peregrine chasing waders on the shore and1 Kingfisher down the River Birket -|LeasoweLighthouse","check species & gridref","[Kingfisher down the River Birket] / [Leasowe Lighthouse]","2011-10-30 00:00:00","1","Kingfisher","Alcedo atthis","LeasoweLighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","1 Wheatear on the strandline 1 Short-eared Owl came in from Middle Eyedirection -|West KirbyShore","check species & gridref","[Wheatear on the strandline] / [West Kirby Shore]","2011-10-30 00:00:00","1","Wheatear","Oenanthe oenanthe","West KirbyShore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","1 Wheatear on the strandline 1 Short-eared Owl came in from Middle Eyedirection -|West KirbyShore","check species & gridref","[Short-eared Owl came in from Middle Eyedirection] / [West Kirby Shore]","2011-10-30 00:00:00","1","Short-eared Owl","Asio flammeus","West KirbyShore","SJ209871","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","4 Short-eared Owl off|DenhallQuay| also 1 Hen Harrier (ringtail) off Decca Pools","check species & gridref","[Short-eared Owl off] / [Denhall Quay]","2011-10-30 00:00:00","4","Short-eared Owl","Asio flammeus","DenhallQuay","SJ288761","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","4 Short-eared Owl off|DenhallQuay| also 1 Hen Harrier (ringtail) off Decca Pools","check species & gridref","[Hen Harrier  off Decca Pools] / [Denhall Quay]","2011-10-30 00:00:00","1","Hen Harrier","Circus cyaneus","DenhallQuay","SJ288761","Female","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l091011.htm","105 Brent Geese 4 Purple Sandpiper 10000 Knot and 10000Oystercatcher - highlights from|Hilbre|formoredetails see|http://www","check species","Brent Geese","2011-10-30 00:00:00","105","Brent Goose","Branta bernicla","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Formoredetails see"
"http://www.deeestuary.co.uk/l091011.htm","105 Brent Geese 4 Purple Sandpiper 10000 Knot and 10000Oystercatcher - highlights from|Hilbre|formoredetails see|http://www","ok","","2011-10-30 00:00:00","4","Purple Sandpiper","Calidris maritima","Hilbre","SJ185879","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Formoredetails see"
