"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l030414.htm","1 Spotted Crake| 1 Tawny Pipit and 1 Cuckoo -|Red Rocks| early morning","ok","","2014-04-30 00:00:00","1","Spotted Crake","Porzana porzana","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Early morning"
"http://www.deeestuary.co.uk/l030414.htm","1 Spotted Crake| 1 Tawny Pipit and 1 Cuckoo -|Red Rocks| early morning","ok","","2014-04-30 00:00:00","1","Tawny Pipit","Anthus campestris","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Early morning"
"http://www.deeestuary.co.uk/l030414.htm","1 Spotted Crake| 1 Tawny Pipit and 1 Cuckoo -|Red Rocks| early morning","ok","","2014-04-30 00:00:00","1","Cuckoo","Cuculus canorus","Red Rocks","SJ203883","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. Early morning"
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","ok","","2014-04-30 00:00:00","1","Merlin","Falco columbarius","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","ok","","2014-04-30 00:00:00","112","Great Crested Grebe","Podiceps cristatus","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","ok","","2014-04-30 00:00:00","1","Scaup","Aythya marila","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","ok","","2014-04-30 00:00:00","3","Whinchat","Saxicola rubetra","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","check species","Redpoll","2014-04-30 00:00:00","20","Common Redpoll","Acanthis flammea","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Merlin 112 Great Crested Grebe 1 Scaup 3 Whinchat 20 Redpoll and 5 Whimbrel -|Leasowe Lighthouse","ok","","2014-04-30 00:00:00","5","Whimbrel","Numenius phaeopus","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","2 Mediterranean Gull 68 Avocet and 1 Marsh Harrier -|Burton Mere Wetlands|this evening","ok","","2014-04-30 00:00:00","2","Mediterranean Gull","Ichthyaetus melanocephalus","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening"
"http://www.deeestuary.co.uk/l030414.htm","2 Mediterranean Gull 68 Avocet and 1 Marsh Harrier -|Burton Mere Wetlands|this evening","ok","","2014-04-30 00:00:00","68","Avocet","Recurvirostra avosetta","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening"
"http://www.deeestuary.co.uk/l030414.htm","2 Mediterranean Gull 68 Avocet and 1 Marsh Harrier -|Burton Mere Wetlands|this evening","ok","","2014-04-30 00:00:00","1","Marsh Harrier","Circus aeruginosus","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. This evening"
"http://www.deeestuary.co.uk/l030414.htm","1Wood Warbler - by Gorse Lane Newton (West Kirby) park in GrammarSchool Lane walk 150 yards down Gorse Lane bird is on right aspath enters wood","format","1Wood Warbler - by Gorse Lane Newton (West Kirby) park in GrammarSchool Lane walk 150 yards down Gorse Lane bird is on right aspath enters wood","2014-04-29 00:00:00","","","","","","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l030414.htm","1 Whinchat 5 Wheatear 3 Grasshopper Warbler 2 Arctic Tern and at least 110 Great Crested Grebe -|Leasowe Lighthouse","ok","","2014-04-29 00:00:00","1","Whinchat","Saxicola rubetra","Leasowe Lighthouse","SJ252912","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
