"Source","Record","Status","Status Note","Date","Abundance","Scientific or Common Name","Scientific","Location","Grid Reference","Sex/Stage","Record Type","Observer","Determiner","Comments"
"http://www.deeestuary.co.uk/l070815.htm","2300 Black-tailed Godwit (12 colour-ringed 44 juveniles) and 1 Knot (juvenile) -|Gilroy Nature Park West Kirby","check gridref","Gilroy Nature Park West Kirby","2015-08-31 00:00:00","2300","Black-tailed Godwit","Limosa limosa","Gilroy Nature Park West Kirby","SJ224876","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","2300 Black-tailed Godwit (12 colour-ringed 44 juveniles) and 1 Knot (juvenile) -|Gilroy Nature Park West Kirby","check species & gridref","[colour-ringed] / [Gilroy Nature Park, West Kirby]","2015-08-31 00:00:00","12","UNKNOWN SPECIES","UNKNOWN SPECIES","Gilroy Nature Park West Kirby","SJ224876","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","2300 Black-tailed Godwit (12 colour-ringed 44 juveniles) and 1 Knot (juvenile) -|Gilroy Nature Park West Kirby","check species & gridref","[] / [Gilroy Nature Park, West Kirby]","2015-08-31 00:00:00","44","UNKNOWN SPECIES","UNKNOWN SPECIES","Gilroy Nature Park West Kirby","SJ224876","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","2300 Black-tailed Godwit (12 colour-ringed 44 juveniles) and 1 Knot (juvenile) -|Gilroy Nature Park West Kirby","check gridref","Gilroy Nature Park West Kirby","2015-08-31 00:00:00","1","Knot","Calidris canutus","Gilroy Nature Park West Kirby","SJ224876","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","1","Spotted Redshank","Tringa erythropus","Burton Mere Wetlands","SJ310730","Juvenile","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","600","Teal","Anas crecca","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","4","Greenshank","Tringa nebularia","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","20","Ruff","Calidris pugnax","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","1","Curlew Sandpiper","Calidris ferruginea","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
"http://www.deeestuary.co.uk/l070815.htm","1 Spotted Redshank (juvenile) 600 Teal 4 Greenshank 20 Ruff 1 Curlew Sandpiper and 1 Marsh Harrier -|Burton Mere Wetlands","ok","","2015-08-31 00:00:00","1","Marsh Harrier","Circus aeruginosus","Burton Mere Wetlands","SJ310730","Not recorded","Sighting","Anon at Dee Estuary Bird Sightings","Anon at Dee Estuary Bird Sightings","Retrieved from www.deeestuary.co.uk. "
