"",154
" 1 Common Sandpiper c3000 Redshank 1 Spotted Redshank 1 Greenshank c500 Curlew 9 Whimbrel -",3
" 1600 Black-headed Gull -",6
" 5Grasshopper Warbler 4 Cetti's Warbler 8 Wheatear 2 LesserWhitethroat 4 Whinchat 2 Yellow Wagtail 1 Avocet and 2 HouseMartin",2
" 7 Wheatear 2 WhiteWagtail and 2 Common Redstart -",7
" and a Peregrine -",1
" at high tide",2
" flew in beforehigh tide between 10am and 11am",2
" flew over and identified on call and size -",1
" one presentall day between Stanley Road and Lifeboat Station then remarkablyjoined by a second this afternoon -",1
" seen on the beach at",1
"'Cop Hole' outer Burton Marsh",4
"(FD)",1
"(NOT Black Scoter)",1
"(confirmed from sound recording) -",1
"(fem) - Hilbre",7
"(good description",1
"(heard and seen flying last seen heading northover large field at back of car park) -",1
"(inflight this afternoon) -",1
"(juv) over",2
"(male) in paddock ('Hoopoe Hollow') off Meols Common west of",1
"(maleprob western race) - south end",1
"(one brief glimpse",1
"(photographed) -",1
"(seenand heard) by path to duck pond next to Lingham Lane -",2
")",3
"*******",3
"-",452
"- CaldyWildfowl Collection",2
"- Gilroy Nature Park and next door field West Kirby",3
"- Green Acres Paddock along Lingham Lane (behind",1
"- Heswall Fields/Shore",21
"- Hilbre Island",43
"- New Brighton",3
"- Old Baths car park",1
"- West Kirby",1
"- first at",1
"- first seenover",1
"- flew over",1
"- highlights from",8
"- total for",1
"- with Chiifchaffs in hedge by",2
"-another site record -",1
"-horse paddocks west of",7
"-top end of",1
"1",5
"1 Bittern- flying towards IMF having been flushed from a ditch",3
"1 Great Northern Diver -",1
"1 Hobby 1 Spotted Redshank and 1 Cuckoo -",3
"1 Laughing Gull on pontoon on Marine Lake -",2
"1Redstart 5 Grasshopper Warbler 5 Cetti's Warbler 2 Common Sandpiper21 Wheatear 2 Lesser Whitethroat 4 Yellow Wagtail and 1 Whinchat at",2
"3 Whinchat 12 Siskin and 2 Whimbrel in fields with Curlew also 7Sandwich Tern -",10
"4 Ruff 2 Golden Plover and 2 Bar-tailed Godwit -",4
"6 Spoonbill - Donkeystand Flash",5
"66 Grey Plover 21 Ringed Plover 40 Knot 2150 Dunlin 45 Whimbrel -",1
"7 Spoonbill and 20 Greenshank -",3
":",3
"American Herring Gull",6
"Ashton Park (near lake) West Kirby",1
"B",3
"Bagillt Hall Hoylwell",1
"Bagillt Marsh",5
"BagilltMarsh",3
"Bagilltshore",1
"Banks Road Heswall",1
"Bathscar park Parkgate",5
"BennetsLane/Park Lane jct Meols",1
"Benty Heath Lane Willaston",2
"BentyFarm",1
"Bettisfield cob Bagillt",1
"Bewick's Swan -",3
"Bidston Hill",1
"Bidston Station",1
"Bird Island (Red Rocks)",1
"Bird Island Red Rocks",1
"Bird Rock",3
"Birdwatching Events",1
"BirkenheadRoad Meols",1
"Bispham Drive Meols",1
"Black Kite",1
"Black-tailed Godwit -",1
"Boathouse Flash Parkgate Marsh RSPB",1
"Boathouse PubParkgate",1
"BoathousePub Parkgate",2
"Bonaparte's Gull -",1
"Brambling",2
"Brimstage and Thornton Hough",1
"Broken Bank/Sealand Ranges",3
"BrokenBank Burton Marsh",6
"BrokenBank/Aero Club Outer Burton Marsh",2
"Buckley",1
"Buckley (just south ofConnah's Quay)",1
"Buckley (near Queensferry)",1
"Burton",91
"Burton Barn Lane Shotwick",1
"Burton Marsh (Denhall Lane)",5
"Burton Marsh Burton Point",3
"Burton Marsh Decca Pool",1
"Burton Marsh Decca Pools",51
"Burton Marsh Decca pools",5
"Burton Marsh Denhall Lane",6
"Burton Marsh Denhall Lane/ DeccaPools area",3
"Burton Marsh Denhall gutter",1
"Burton Marsh RSPB",3
"Burton Marsh off Denhall Quay",1
"Burton Marsh then flew to",1
"Burton Marsh to Burton Point",4
"Burton Marsh to Denhall Quay",6
"Burton Marsh/Decca Pools",25
"Burton Marsh/Denhall Old Quay",4
"Burton Marsh/Denhall Quay",3
"Burton Marsh/Point",53
"Burton Marsh/Rifle Range Pools area",3
"Burton Mere Wetlands (also seenover Station Road)",1
"Burton Mere Wetlands Receptionhide and Inner Mrsh Farm hide",6
"Burton Mere Wetlands/InnerMarsh Farm",8
"Burton Point Farm",2
"Burton Point and Denhall Lane",3
"Burton Point to Decca Pools",8
"Burton Point track",3
"Burton Point/ Marsh",5
"Burton Point/Burton Marsh",4
"Burton Point/Inner Marsh Farm",9
"Burton Point/Marsh",17
"Burton Point/Outer Burton Marsh",10
"Burton Point/Sheep pens area",7
"Burton Point/Shotwick Boating Lake",2
"Burton Road Burton",1
"Burton Village",4
"Burton Woods",1
"Burton/Neston Marsh",44
"BurtonManor",1
"BurtonMarsh (White Sands)",1
"BurtonMarsh Denhall Lane/ Decca Pools area",4
"BurtonMarsh to Neston Old Quay",5
"BurtonMarsh/Burton Point",1
"BurtonMarsh/Point and adjacent fields",4
"BurtonMarsh/Sealand",3
"BurtonMere",4
"BurtonMere Wetlands/Burton Marsh",5
"BurtonMere Wetlands/Inner Marsh Farm",4
"BurtonMere Wetlands/Puddington Lane",3
"BurtonOuter Marsh (Clwyd)",4
"BurtonPoint and Denhall Lane",1
"BurtonPoint/Burton Marsh",8
"BurtonPoint/Marsh",3
"Burtonand Parkgate",2
"Caldy Blacks",1
"Caldy Cliffs",2
"Caldy Golf club",1
"Caldy Hill",16
"Caldy PlayingFields",1
"Caldy Ponds",2
"Caldy Shore",114
"Caldy Wildfowl CollectioCaldyWildfowl Collection",2
"Caldy Wildfowl Collection (below Stapledon Wood)",1
"Caldy Wildfowl Collection (nextto Column Road)",14
"Caldy Wildfowl Collection (nextto Column Road) ",2
"Caldy Wildfowl Collection (offColumn Road)",1
"Caldy Wildfowl collection",4
"Caldy WildfowlCollection",7
"Caldy WildfowlCollection (nextto Column Road)",7
"Caldy Wood",1
"Caldy Woods",14
"Caldy Woods/Hill",1
"Caldy and Heswall",1
"Caldy and Thurstaston",2
"Caldy cliffs",1
"Caldy shore",1
"Caldy/Thurstaston",6
"CaldyHill",3
"CaldyShore",9
"CaldyWidfowl Collection",3
"CaldyWildfowl Collection",94
"CaldyWildfowl Collection (next to Column Road)",12
"CaldyWildfowl Collection (nextto Column Road)",7
"CaldyWildfowl Collection (off Column Road)",8
"Caldysteps and Dee SC",2
"Carr Lane Hoylake Langfields",4
"Carr Lane Moreton",3
"Carr LaneMeols",1
"CarrLane Meols",1
"CattleEgret",5
"Central Library Wallasey",1
"Chatsworth Road Pensby",6
"China FarmLane West Kirby",1
"Church Farm Thurstaston",1
"Column Road West Kirby",9
"Column Road/Kings Walk West Kirby",2
"ColumnRoad West Kirby",2
"Connah's Quay",49
"Connah's Quay Dock and Reserve",4
"Connah's Quay Nature Reserve",68
"Connah's Quay Nature Reseve",2
"Connah's Quay NatureReserve",2
"Connah's Quay Power",1
"Connah's Quay Reserve (off Oakenholt)",1
"Connah's Quay Reserve/Oakenholt",8
"Connah's Quay Reserve/OakenholtMarsh",11
"Connah's Quay and Wepre Woods",1
"Connah's Quay/Northop Hall",1
"Connah's Quay/Oakenholt",5
"Connah's Quay/Oakenholt Marsh",5
"Connah's QuayNature Reserve",23
"Connah's QuayReserve/Oakenholt Marsh",3
"Connah's QuayReseve/Oakenholt Marsh",4
"Connah'sQuay",8
"Connah'sQuay Nature Reserve",18
"Connah'sQuay Nature Reseve",1
"Connah'sQuay/Oakenholt Marsh",2
"Cop Hole Outer Burton Marsh",5
"Cottage Lane (Gayton Marsh)",1
"Cottage Lane Gayton",34
"Cottage Lane/Riverbank Road Heswall",4
"CottageLane",2
"CottageLane Gayton",9
"CottageLane Heswall and Heswall Golf Course",1
"CottageLane/Heswall Golf Course",1
"CottageLane/Riverbank Road Heswall",7
"CottageLoaf Thurstaston",1
"Cubbin's Green West Kirby",3
"Cubbins GreenWest Kirby",1
"CubbinsGreen West Kirby",6
"Cuckoo LaneNeston",1
"Cuckoo heard near",1
"Dawpool Bank Thurstaston",2
"Dawpool Bank Thurstaston Shore",2
"Dawpool BankThurstaston",5
"Dawpool BankThurstaston Shore",1
"Dawpool NR and Caldy",1
"Dawpool Nature Reserve",7
"Dawpool Wirral Way Thurstaston Visitor Centre",8
"DawpoolBank",2
"DawpoolBank Thurstaston",4
"DawpoolNature Reserve/Wirral Way",1
"Dawstone Road Heswall",1
"Decca Pool",6
"Decca Pools",243
"Decca Pools Burton MarDeccaPools Burton Marsh",6
"Decca Pools and Denhall Quay",3
"Decca Pools and Neston Old Quay",6
"Decca Pools andBurton Point",9
"Decca Pools andNeston Reedbed",5
"Decca Pools area",4
"Decca Pools to DenhallQuay",1
"Decca Pools/Denhall Quay",3
"DeccaPool",2
"DeccaPools",46
"DeccaPools and Denhall Quay",4
"DeccaPools area",5
"DeccaPools/Denhall Quay",2
"Dee Sailing Club Thurstaston",1
"DeeSC causeway and Caldy steps",1
"Denhall Burton",2
"Denhall Lane",2
"Denhall Lane Burton and Neston",5
"Denhall Lane and Denhall Quay",1
"Denhall Lane and Neston",1
"Denhall Lane and Neston Old Quay",1
"Denhall Lane/Decca Pools",2
"Denhall Lane/Decca Pools Burton Marsh",6
"Denhall Lane/Denhall Quay",4
