"",1038
""",1
"%",8
"%  on sand bank",1
"%  this afternoon also",1
"% at Hoylake Meols most of the rest offWallasey New Brighton",1
"% certain",1
"% in summer plumage",1
"% of max UK count",1
"% of the",1
"% of the total Icelandic race",1
"% of the total islandica race",1
"% of the typical UK population",1
"% s/pl",2
"% sure of ID",1
"%+",1
"&",5
"' next to golf course",1
"'Channel'Wagtail in Kerr's Field",1
"'Commic' Tern",1
"'Grey'",1
"'Spanish Wagtail'",2
"'alba' Wagtails on shore between",1
"'channel' Yellow x Blue-headed Wagtail in paddocks near",1
"'grey'",1
"'grey'  all seen in air together",1
"'probable'",1
"'red' birds",2
"*",1
"* Brent Geese all pale-bellied on",1
"*Christmas Day*",1
"+",4
"+/",1
":",43
"Ashy-headed Wagtail 'flava'",1
"Ashy-headed wagtail showing again today also",1
"August",1
"Auk spp in",1
"Auks including",1
"Avicet on marsh by the",1
"Ayr",1
"Banks Rd arable field",1
"BarnacleGeese flew out of river",1
"Bean Geese",2
"Bean Geese confirmed sighting",1
"Birkenhead Road towards Queens Park",1
"Black Swan",29
"Black Swan a flock of",2
"Black Swan infieldsat",1
"Black Swan off",1
"Black Swan on flash by model aeroclub",1
"Black Swans",1
"Black-tern",2
"BlackSwan",1
"Blavk Swan",1
"Blue-headed Wagtail",9
"Blue-headed Wagtail briefly on shore",1
"Blue-headed Wagtail fem in field by water treatment plant",1
"Blue-headed Wagtail in hores paddocks at",1
"Blue-headed Wagtail reported also",2
"Blue-headed Wagtailfem",1
"Blue-headed type Wagtail",1
"Bottle-nosed Dolphin seen from both Red Rocks Hilbreearlier at Red Rocks were",1
"Bottle-nosed Dolphins",1
"Bottlenose Dolphins off the point for about",1
"Brent Beese with at least one dark-bellied on tide edge",1
"Brent Geese- OldBaths to Cottage Lane",1
"Brent Geese- highlights from",2
"Brent Geeseand",2
"Brent Geeseat least",1
"Brent Geeseon edge of saltmarsh",1
"Brent Geeseone dark-bellied",1
"Brent Geesepale-bellied",1
"Brent Geesepale-bellied - highlightsfrom",1
"Brent a record December count",1
"Brent off",1
"Brent on nearby shore with good numbers of waders",1
"Brent-Geese pale-bellied",1
"BrentGeese",7
"BrentGeese incl",1
"Brown Hares seen during 'Mad March Hares' walk this morning",1
"CY - on beach off",1
"CY non-breeding birds",1
"Caldy Hill seems to have been an influx over past",1
"Centenary pool",1
"Channel Wagtail",1
"Corus access road roundabout - birds can be seen from gate",1
"Crossbill  in",1
"Crossbill  in garden near Ness Gardens",1
"Crossbill  in pine bottom of",1
"Crossbill - Golf Course behind",1
"Crossbill - flew over",1
"Crossbill at least",1
"Crossbill briefly at",1
"Crossbill briefly by Wirral Way next to golfcourse before flying north",1
"Crossbill came to drink in private garden",1
"Crossbill fem/imm",1
"Crossbill flew east along",1
"Crossbill flew north over car park",1
"Crossbill flew over east calling",1
"Crossbill flew over railway bridge towards Burton Point",1
"Crossbill flew over towards Hilbre on marsh between West Kirby Red Rocks best seen from the sand dunes rather than striding through the marsh",1
"Crossbill flying south over",1
"Crossbill heading NE over Newton",1
"Crossbill heard",2
"Crossbill heard singing",1
"Crossbill in Scots Pine on top of",1
"Crossbill in fir tree at",1
"Crossbill in pine trees",1
"Crossbill in pine trees by Torpenhow stables next to Montgomery Hill road",1
"Crossbill in pines",1
"Crossbill in pines by",8
"Crossbill landed in pine trees on golf course then flew acrosstowards Hilbre also",1
"Crossbill over",12
"Crossbill over flying NE",1
"Crossbill over flying east",1
"Crossbill over heading east",1
"Crossbill over heading south",2
"Crossbill over mostly",1
"Crossbill over near",1
"Crossbill over south",1
"Crossbill reported flying over Lifeboat Station this afternoon",1
"Crossbill seen flying over",1
"Crossbill seen from second screen",1
"Crossbill south over",1
"Crossbills flew over",1
"Crow on",1
"Crow on the sand bank before hightide",1
"Crow on the shore also",1
"Crowflying over the cliffs",1
"Crows flying across to Wales",1
"Crows on the mudflats",1
"Crows playing in the updraft from thecliffs",1
"Curew also",1
"D/B",1
"Dabchick",7
"Dark-bellied",2
"Dark-bellied Brent",1
"Dark-bellied Brent Geese flew in landed on the sand at the mouth ofGronant River",1
"Dark-bellied Brent Geese with the pale-bellied -highlights from",1
"Dark-bellied with the Brent Geese",1
"Dee Bridge",1
"Deeside Industrial Zone",1
"Divers possibly Great Northern reported from",1
"Dolphin at high tide",1
"Dolphins",1
"Eagle Owl seen heard in",1
"East Hoyle Bank",1
"Egyptian Duck",1
"EgyptianGeese",1
"European White Fronted Geese",1
"Ganner",1
